Parent	Child	PanMAN_Diff	MAFFT_Diff	Expected_Mismatch_Count_After_Correction	Mismatch_Count_In_MA_Blocks	Mismatch_Count_In_Corrected_Blocks	All_Mismatch_Count
node_100	02A1.PK.2014.DEURF14PK012.KY658717	1928	748	 999	 950	 21	 1928
node_102	node_103	315	312	 315	 0	 0	 315
node_101	02A1.PK.2014.PK012.KX232605	1134	737	 916	 228	 10	 1134
node_98	node_100	551	542	 551	 0	 0	 551
node_105	A8.CV.2010.CV.10.115.MW353966	1331	750	 889	 472	 30	 1331
node_99	02A1.PK.2014.PK006.KX232599	1938	950	 1206	 742	 10	 1938
node_105	A1H.CM.2011.CHU2727.KP718933	2290	1419	 1643	 680	 33	 2290
node_104	node_105	370	235	 370	 0	 0	 370
node_104	A8.CV.2010.CV.10.126.MW353967	1111	875	 855	 266	 10	 1111
node_103	02A1.PK.2015.DEURF15PK040.MT222943	2436	967	 1233	 1240	 37	 2436
node_108	node_109	358	306	 358	 0	 0	 358
node_110	A4.CD.1997.97CD_KTB13.AM000054	1243	1011	 1029	 236	 22	 1243
node_109	A4.CD.2002.02CD_KTB035.AM000055	2632	1997	 2314	 332	 14	 2632
node_107	node_108	200	196	 200	 0	 0	 200
node_108	node_110	603	238	 239	 368	 4	 603
node_106	node_107	677	342	 340	 348	 11	 677
node_107	node_112	406	409	 406	 0	 0	 406
node_111	26_A5U.CD.2002.02CD_KS069.FM877780	1875	1510	 1325	 599	 49	 1875
node_110	node_111	298	302	 298	 0	 0	 298
node_109	AH.CM.2015.DEURF15CM057.MT222938	2614	1728	 2614	 0	 0	 2614
node_111	A4.CD.1997.97CD_KCC2.AM000053	2554	1535	 1755	 826	 27	 2554
node_112	node_113	129	119	 129	 0	 0	 129
node_113	26C.CD.1997.97CD_KFE267.FM877778	3397	1718	 2212	 1224	 39	 3397
node_118	26C.CD.2002.02CD_LBTB032.FM877779	3338	2194	 2873	 490	 25	 3338
node_115	26_A5U.CD.2002.02CD_MBTB047.FM877782	2004	1655	 1675	 350	 21	 2004
node_117	node_119	1474	1186	 1179	 319	 24	 1474
node_116	node_117	927	209	 715	 224	 12	 927
node_118	U.CA.1999.TV721.HM215249	3161	2028	 2598	 578	 15	 3161
node_121	node_123	540	541	 540	 0	 0	 540
node_113	26_A5U.CD.1997.97CD_KTB119.FM877777	1941	1622	 1941	 0	 0	 1941
node_114	node_115	360	120	 121	 248	 9	 360
node_117	node_118	739	495	 739	 0	 0	 739
node_115	26_A5U.CD.2002.02CD_LBTB084.FM877781	2830	1725	 1755	 1134	 59	 2830
node_127	node_128	556	567	 556	 0	 0	 556
node_119	node_120	682	636	 682	 0	 0	 682
node_116	node_121	965	580	 700	 266	 1	 965
node_114	26C.CD.1997.MBFE250.FM877783	1763	1749	 1763	 0	 0	 1763
node_112	node_114	372	116	 114	 266	 8	 372
node_120	J.CD.2002.CG-0331-02V_NGSID13.KY392776	330	325	 330	 0	 0	 330
node_106	node_116	779	428	 415	 368	 4	 779
node_127	node_131	83	91	 83	 0	 0	 83
node_136	node_137	180	174	 180	 0	 0	 180
node_140	node_141	11	11	 11	 0	 0	 11
node_131	node_132	317	315	 317	 0	 0	 317
node_119	U.CA.2001.TV749.HM215251	712	701	 712	 0	 0	 712
node_147	02_AG.KR.2007.07MHI10.JQ316136	1105	905	 904	 204	 3	 1105
node_131	node_133	842	822	 842	 0	 0	 842
node_139	02_AG.KR.2012.12MHI11-10745.KF561436	2171	795	 795	 1384	 8	 2171
node_123	J.SE.1994.SE9173_7022.AF082395	1198	376	 873	 334	 9	 1198
node_123	node_124	307	46	 45	 266	 4	 307
node_141	02_AG.KR.2013.13MHI6-11622.KF561439	1449	960	 960	 490	 1	 1449
node_142	02_AG.KR.2013.13MHI6-11621.KF561438	1225	937	 937	 291	 3	 1225
node_120	J.AO.1993.93AOHDC253.KU310620	3232	1315	 1335	 2028	 131	 3232
node_130	49_cpx.GM.2002.N18380.HQ385477	1672	859	 1097	 578	 3	 1672
node_140	node_142	566	29	 29	 542	 5	 566
node_128	node_130	611	381	 611	 0	 0	 611
node_153	02A6.RU.2008.DE00208RU002.KU749432	867	25	 508	 360	 1	 867
node_153	02A6.RU.2008.DEURF08RU001.KF716493	1090	33	 30	 1060	 0	 1090
node_143	02_AG.KR.2004.04MHI10.JQ316137	2367	960	 1215	 1170	 18	 2367
node_152	node_153	985	949	 985	 0	 0	 985
node_125	node_126	433	415	 433	 0	 0	 433
node_148	node_149	280	259	 280	 0	 0	 280
node_128	node_129	1097	643	 892	 212	 7	 1097
node_139	02_AG.KR.2012.12MHI6.MT877447	1208	876	 876	 332	 0	 1208
node_135	node_140	496	479	 496	 0	 0	 496
node_86	node_125	709	449	 447	 266	 4	 709
node_146	node_148	840	355	 355	 490	 5	 840
node_129	J.CM.2004.04CMU11421.GU237072	2651	1446	 1505	 1208	 62	 2651
node_145	node_150	703	241	 250	 458	 5	 703
node_126	node_135	517	402	 517	 0	 0	 517
node_147	02_AG.KR.1993.93MHI10.MW405338	2425	887	 887	 1557	 19	 2425
node_146	node_147	56	48	 56	 0	 0	 56
node_136	node_138	17	17	 17	 0	 0	 17
node_145	node_146	743	477	 540	 204	 1	 743
node_142	node_143	649	161	 161	 490	 2	 649
node_129	49_cpx.BW.1998.BW2117.AF192135	1637	996	 1084	 578	 25	 1637
node_149	02_AG.NG.2009.09NG010325.KX389624	1778	749	 766	 1050	 38	 1778
node_122	JU.AO.1993.93AOHDC250.KU310619	1102	733	 747	 371	 16	 1102
node_133	node_134	340	152	 340	 0	 0	 340
node_134	02_AG.US.2000.00US_MSC3083.AY444811	1815	938	 944	 900	 29	 1815
node_150	node_151	438	69	 70	 368	 0	 438
node_135	node_136	169	167	 169	 0	 0	 169
node_137	02_AG.SN.1998.98SE-MP1213.AJ251057	1092	833	 849	 256	 13	 1092
node_138	node_139	557	298	 303	 266	 12	 557
node_126	node_127	803	574	 612	 204	 13	 803
node_151	02_AG.LR.-.POC44951.AB485637	3830	1433	 2371	 1516	 57	 3830
node_122	J.CD.1997.J_97DC_KTB147.EF614151	1365	793	 1365	 0	 0	 1365
node_156	02A6.RU.2011.11RU6900.JX500697	1532	843	 843	 715	 26	 1532
node_152	02_AG.LR.-.POC44951.AB485636	1598	1395	 1393	 210	 5	 1598
node_130	49_cpx.GM.1997.N28353.HQ385478	1518	751	 749	 802	 33	 1518
node_154	node_155	766	410	 766	 0	 0	 766
node_121	node_122	728	158	 154	 578	 4	 728
node_143	02_AG.KR.2019.19MHI12.MT877448	745	745	 745	 0	 0	 745
node_141	02_AG.KR.2012.12MHI11-10746.KF561437	1755	1086	 1167	 590	 2	 1755
node_157	node_158	162	162	 162	 0	 0	 162
node_138	02_AG.NG.2011.11NG050366.KX389644	1156	908	 958	 219	 21	 1156
node_132	CU.GB.2013.15171_1_19.3.MF109649	1117	1065	 1117	 0	 0	 1117
node_155	node_156	80	70	 80	 0	 0	 80
node_148	02_AG.KR.2008.08MHI11.JQ316138	809	810	 809	 0	 0	 809
node_144	node_154	118	122	 118	 0	 0	 118
node_124	J.SE.1993.SE9280_7887.AF082394	397	397	 397	 0	 0	 397
node_125	node_144	56	60	 56	 0	 0	 56
node_149	02_AG.ES.1999.R74_s_nt0545_9481.MF157740	947	940	 947	 0	 0	 947
node_133	02_AG.NG.2009.09NG010060.KX389639	1216	740	 749	 491	 24	 1216
node_154	node_159	432	395	 432	 0	 0	 432
node_124	J.CD.2003.LA26DiAn.KU168280	2671	1556	 1597	 1100	 26	 2671
node_132	49_cpx.GM.2003.N26677.HQ385479	2232	1335	 1580	 680	 28	 2232
node_134	02_AG.GB.2013.15228_1_71.3.MF109709	696	685	 696	 0	 0	 696
node_150	node_152	386	31	 31	 360	 5	 386
node_144	node_145	531	48	 45	 490	 4	 531
node_151	02_AG.NG.2011.11NG050135.KX389640	1172	713	 725	 476	 29	 1172
node_156	02A6.RU.2008.MSK_SK_005.KY238325	2693	876	 877	 1868	 52	 2693
node_137	02_AG.CM.2001.01CM_0002BBY.AY371122	2663	951	 970	 1753	 60	 2663
node_158	0263.UZ.2002.02UZ693.AY829204	838	227	 227	 616	 5	 838
node_160	02_AG.GH.2003.03GH182AG.AB286857	1450	1246	 1240	 230	 20	 1450
node_157	0263.UZ.2002.02UZ710.AY829207	1345	310	 310	 1039	 4	 1345
node_158	0263.UZ.2002.02UZ0683.AY829214	627	140	 140	 490	 3	 627
node_160	02A6.RU.2010.10RU6509.JX500703	2570	1034	 1059	 1567	 56	 2570
node_159	node_160	11	11	 11	 0	 0	 11
node_159	node_161	26	26	 26	 0	 0	 26
node_155	node_157	64	66	 64	 0	 0	 64
node_161	02_AG.GH.2003.03GH182AG.AB286858	1220	1228	 1220	 0	 0	 1220
node_161	node_162	319	337	 319	 0	 0	 319
node_162	02_AG.GH.1997.97GH-AG1.AB049811	2951	1376	 2073	 930	 52	 2951
node_163	node_164	29	22	 29	 0	 0	 29
node_171	node_172	289	288	 289	 0	 0	 289
node_165	node_166	523	31	 33	 490	 0	 523
node_172	02_AG.GH.2021.KBH64-GH.OQ121891	843	537	 545	 326	 28	 843
node_180	node_182	383	131	 383	 0	 0	 383
node_7	node_163	112	113	 112	 0	 0	 112
node_168	node_170	161	162	 161	 0	 0	 161
node_164	node_165	27	23	 27	 0	 0	 27
node_166	node_167	549	182	 182	 368	 1	 549
node_174	02_AG.CM.2002.02CM_0014BBY.AY371126	892	655	 656	 248	 12	 892
node_173	node_174	429	163	 168	 266	 5	 429
node_189	02_AG.CM.2010.DE00210CM013.KF859739	2214	903	 901	 1383	 70	 2214
node_167	node_168	262	263	 262	 0	 0	 262
node_184	node_194	45	53	 45	 0	 0	 45
node_162	02_AG.GH.2020.KBH28-GH.OQ121867	1335	864	 872	 476	 13	 1335
node_170	02_AG.GH.2021.KBH65-GH.OQ121892	869	864	 869	 0	 0	 869
node_182	node_183	156	166	 156	 0	 0	 156
node_180	node_181	1178	682	 931	 261	 14	 1178
node_188	node_189	280	279	 280	 0	 0	 280
node_195	node_196	621	406	 621	 0	 0	 621
node_169	02_AG.CM.2008.Read7_HIV_CRF02_AG.KX228823	1331	274	 768	 579	 16	 1331
node_190	node_191	147	150	 147	 0	 0	 147
node_170	02_AG.NG.2006.06NG_SC11.JN248580	1249	729	 1032	 224	 7	 1249
node_174	02_AG.CM.2010.DE00210CM019.KU749419	2456	834	 1152	 1352	 48	 2456
node_181	02_AG.CM.2010.10CMLB075.MT349411	1331	1018	 1043	 312	 24	 1331
node_184	node_185	36	38	 36	 0	 0	 36
node_194	node_195	130	133	 130	 0	 0	 130
node_193	02_AG.CM.2002.02CM_1669LE.AY371139	1201	957	 964	 248	 11	 1201
node_196	02_AG.CM.2002.02CM_4082STN.AY371141	1903	736	 731	 1206	 34	 1903
node_167	node_171	357	92	 357	 0	 0	 357
node_176	node_178	537	312	 319	 224	 6	 537
node_200	02_AG.FR.1991.DJ263.AF063223	1088	720	 720	 368	 0	 1088
node_181	02_AG.GW.2014.DE00214GW007.MH078543	1533	754	 760	 802	 29	 1533
node_172	02_AG.CM.2010.10CMLB070.MT349409	1803	1033	 1803	 0	 0	 1803
node_193	02_AG.CM.2008.08CMBDSH9.MN153494	902	853	 902	 0	 0	 902
node_177	02_AG.GW.2014.DE00214GW033.MN703129	3244	1445	 1612	 1700	 68	 3244
node_195	node_197	487	488	 487	 0	 0	 487
node_169	02_AG.CM.2008.DE00208CM004.JX140647	414	426	 414	 0	 0	 414
node_194	node_199	57	72	 57	 0	 0	 57
node_179	02_AG.ES.2006.P1261.EU786671	1742	683	 1169	 624	 51	 1742
node_202	02_AG.NG.-.IBNG.L39106	1386	1018	 1022	 368	 4	 1386
node_176	node_177	386	261	 386	 0	 0	 386
node_166	node_175	157	161	 157	 0	 0	 157
node_187	02_AG.NG.2011.DE00211NG010.KY953198	1689	971	 975	 748	 34	 1689
node_168	node_169	1065	474	 492	 578	 5	 1065
node_173	02A1.EE.2006.A48.KM606636	1208	664	 917	 310	 19	 1208
node_177	02_AG.GW.2004.CC_0030.FJ694791	1018	904	 1018	 0	 0	 1018
node_178	02_AG.GW.2005.CC_0048.FJ694792	1376	642	 653	 738	 15	 1376
node_178	node_179	529	254	 265	 266	 2	 529
node_185	node_190	307	307	 307	 0	 0	 307
node_165	node_184	150	154	 150	 0	 0	 150
node_175	node_180	62	62	 62	 0	 0	 62
node_175	node_176	127	125	 127	 0	 0	 127
node_199	node_200	393	398	 393	 0	 0	 393
node_187	02_AG.GW.2014.DEURF14GW040.MN703132	2814	1304	 1880	 985	 51	 2814
node_186	node_187	149	147	 149	 0	 0	 149
node_171	node_173	1056	421	 421	 646	 11	 1056
node_200	02_AG.FR.-.DJ263.AB485634	4009	1384	 1384	 2628	 3	 4009
node_185	node_186	394	389	 394	 0	 0	 394
node_197	node_198	304	308	 304	 0	 0	 304
node_189	0222.CM.2010.DE00210CM013.2.KF859740	2303	949	 1447	 876	 20	 2303
node_197	02_AG.CM.2001.01CM_0018ND.GU201494	1050	574	 601	 471	 22	 1050
node_201	node_202	550	336	 550	 0	 0	 550
node_190	node_192	344	95	 98	 248	 2	 344
node_192	node_193	818	273	 513	 315	 10	 818
node_196	02_AG.CM.2001.01CM_0008BBY.AY371124	1049	737	 750	 312	 13	 1049
node_198	02_AG.FR.1991.DJ264.AF063224	768	307	 768	 0	 0	 768
node_186	node_188	210	213	 210	 0	 0	 210
node_191	0102.CM.2002.A1152.MN116201	2290	1131	 1155	 1188	 53	 2290
node_198	02_AG.FR.-.DJ263.AB485635	2108	986	 981	 1146	 19	 2108
node_183	02A3.GW.2014.DEURF14GW036.MN703131	2250	1061	 1098	 1206	 54	 2250
node_164	node_203	333	336	 333	 0	 0	 333
node_179	02_AG.GW.2014.DE00214GW043.MT222961	1625	1114	 1418	 210	 3	 1625
node_192	02_AG.CM.1997.CM53658.AF377955	1444	625	 617	 836	 9	 1444
node_182	02A3.-.2000.LA11ZaCh.KU168266	2323	1690	 1702	 632	 11	 2323
node_203	node_204	607	241	 239	 368	 0	 607
node_183	02_AG.GH.2020.KBH23-GH.OQ121862	1077	771	 1077	 0	 0	 1077
node_191	02_AG.CM.2001.01CM_0126MA.GU201499	1395	777	 778	 651	 34	 1395
node_188	02_AG.GH.2003.GHNJ196.AB231898	2129	1649	 2129	 0	 0	 2129
node_199	node_201	418	414	 418	 0	 0	 418
node_209	node_211	127	121	 127	 0	 0	 127
node_207	02_AG.GH.2003.03GH189AG.AB286862	2081	1567	 1580	 522	 21	 2081
node_206	node_207	563	194	 197	 368	 2	 563
node_201	02_AG.SE.1994.SE7812.AF107770	958	948	 958	 0	 0	 958
node_211	02_AG.GH.2021.KBH84-GH.OQ121907	770	750	 770	 0	 0	 770
