Parent	Child	PanMAN_Diff	MAFFT_Diff	Difference
node_190	KJ643483.1	5	5	0
node_190	KJ643472.1	811	811	0
node_191	KJ643538.1	35	35	0
node_189	node_191	0	0	0
node_191	KJ643493.1	24	24	0
node_193	node_194	0	0	0
node_130	node_192	162	24	138
node_192	node_193	0	0	0
node_194	node_195	28	28	0
node_195	node_196	0	0	0
node_196	KJ643495.1	14	14	0
node_196	node_197	45	45	0
node_197	KJ643507.1	1	1	0
node_197	KJ643509.1	1399	1295	104
node_198	node_199	0	0	0
node_195	node_198	1	1	0
node_199	KJ643519.1	19	19	0
node_198	node_200	0	0	0
node_200	KJ643470.1	39	39	0
node_199	KJ643476.1	35	35	0
node_200	KJ643506.1	19	19	0
node_194	node_201	324	0	324
node_201	node_202	2	2	0
node_202	node_203	0	0	0
node_203	KJ643462.1	387	63	324
node_203	KJ643494.1	0	0	0
node_202	node_204	11	11	0
node_204	KJ643471.1	17	17	0
node_204	KJ643488.1	19	19	0
node_201	node_205	0	0	0
node_205	node_206	0	0	0
node_206	KJ643530.1	324	0	324
node_206	KJ643589.1	17	17	0
node_205	node_207	0	0	0
node_207	KJ643482.1	889	49	840
node_193	node_208	21	21	0
node_207	KJ643500.1	1001	674	327
node_209	node_210	10	10	0
node_208	node_209	3	3	0
node_210	node_211	12	12	0
node_211	KJ643576.1	1169	13	1156
node_210	node_212	0	0	0
node_211	KJ643549.1	8	8	0
node_213	node_214	4	4	0
node_212	KJ643469.1	40	40	0
node_212	KJ643586.1	1	1	0
node_209	node_213	0	0	0
node_214	KJ643583.1	1	1	0
node_213	node_215	3	3	0
node_214	KJ643496.1	528	531	-3
node_215	KJ643502.1	3	3	0
node_215	KJ643513.1	18	18	0
node_208	node_216	357	33	324
node_216	node_217	345	107	238
node_217	node_218	0	0	0
node_218	KJ643481.1	83	83	0
node_218	KJ643536.1	20	20	0
node_217	node_219	0	0	0
node_219	KJ643528.1	2	2	0
node_216	node_220	0	0	0
node_220	node_221	0	0	0
node_219	KJ643511.1	12	12	0
node_220	node_222	26	26	0
node_221	KJ643479.1	320	320	0
node_222	KJ643565.1	398	74	324
node_221	KJ643465.1	464	140	324
node_222	KJ643540.1	870	30	840
node_192	node_223	0	0	0
node_223	node_224	94	0	94
node_224	node_225	0	0	0
node_227	KJ643522.1	18	18	0
node_225	node_226	0	0	0
node_227	KJ643587.1	787	226	561
node_226	node_227	151	2	149
node_228	KJ643499.1	33	33	0
node_226	node_228	0	0	0
node_228	KJ643570.1	711	149	562
node_229	node_230	1	1	0
node_225	node_229	0	0	0
node_230	KJ643527.1	43	42	1
node_229	node_231	3	3	0
node_230	KJ643531.1	341	17	324
node_224	node_232	7	7	0
node_231	KJ643568.1	330	6	324
node_231	KJ643564.1	45	45	0
node_233	node_234	0	0	0
node_232	node_233	0	0	0
node_234	KJ643580.1	71	71	0
node_234	KJ643560.1	1220	56	1164
node_233	node_235	0	0	0
node_235	KJ643501.1	848	16	832
node_235	KJ643510.1	331	7	324
node_236	node_237	0	0	0
node_232	node_236	16	16	0
node_237	KJ643533.1	254	254	0
node_236	node_238	0	0	0
node_237	KJ643524.1	0	0	0
node_238	KJ643543.1	19	19	0
node_223	node_239	13	13	0
node_238	KJ643575.1	17	17	0
node_239	node_240	4	4	0
node_240	node_241	0	0	0
node_241	node_242	14	15	-1
node_242	KJ643463.1	18	18	0
node_242	KJ643578.1	257	257	0
node_243	KJ643478.1	42	38	4
node_241	node_243	28	28	0
node_243	KJ643585.1	13	13	0
node_244	node_245	0	0	0
node_240	node_244	16	16	0
node_245	KJ643521.1	194	192	2
node_245	KJ643569.1	16	14	2
node_244	node_246	0	0	0
node_246	KJ643562.1	16	17	-1
node_246	KJ643520.1	29	31	-2
node_239	node_247	1	1	0
node_247	node_248	1	1	0
node_248	node_249	0	0	0
node_248	node_250	16	16	0
node_249	KJ643582.1	783	220	563
node_249	KJ643559.1	35	35	0
node_250	KJ643542.1	17	17	0
node_250	KJ643561.1	68	68	0
node_252	KJ643505.1	6	6	0
node_252	KJ643498.1	2	2	0
node_247	node_251	5	5	0
node_251	node_252	2	2	0
node_251	node_253	4	4	0
node_253	KJ643577.1	75	75	0
node_253	KJ643467.1	341	17	324
node_4	node_254	24	24	0
node_254	node_255	23	15	8
node_255	node_256	814	98	716
node_256	node_257	39	39	0
node_257	node_258	0	0	0
node_258	node_259	13	16	-3
node_259	node_260	0	0	0
node_260	KJ643508.1	47	47	0
node_261	KJ643529.1	21	21	0
node_260	node_261	2	2	0
node_261	KJ643489.1	869	869	0
node_262	node_263	0	0	0
node_263	KJ643515.1	77	77	0
node_259	node_262	0	0	0
node_264	KJ643490.1	76	76	0
node_263	KJ643514.1	14	14	0
node_262	node_264	0	0	0
node_258	node_265	3	3	0
node_264	KJ643464.1	19	19	0
node_266	node_267	0	0	0
node_265	node_266	0	0	0
node_267	KJ643588.1	356	356	0
node_267	KJ643466.1	17	17	0
node_268	KJ643571.1	1	1	0
node_266	node_268	0	0	0
node_268	KJ643572.1	16	16	0
node_265	node_269	21	1	20
node_269	node_270	4	4	0
node_270	KJ643544.1	20	20	0
node_270	KJ643574.1	105	105	0
node_269	node_271	57	60	-3
node_271	KJ643473.1	359	111	248
node_271	KJ643539.1	1707	1264	443
node_257	node_272	0	0	0
node_273	node_274	0	0	0
node_274	node_275	0	0	0
node_272	node_273	31	31	0
node_275	KJ643492.1	387	387	0
node_275	KJ643584.1	329	5	324
node_276	KJ643532.1	217	217	0
node_274	node_276	0	0	0
node_276	KJ643581.1	352	28	324
node_273	node_277	0	0	0
node_277	node_278	324	0	324
node_278	KJ643477.1	29	29	0
node_277	node_279	0	0	0
node_278	KJ643541.1	773	648	125
node_279	KJ643566.1	20	20	0
node_272	node_280	12	12	0
node_280	node_281	32	32	0
node_279	KJ643550.1	0	0	0
node_281	node_282	6	6	0
node_282	KJ643517.1	9	10	-1
node_282	KJ643487.1	386	62	324
node_281	node_283	0	0	0
node_283	KJ643526.1	90	91	-1
node_283	KJ643516.1	372	372	0
node_280	node_284	4	4	0
node_285	KJ643480.1	51	51	0
node_285	KJ643518.1	9	9	0
node_284	node_285	8	9	-1
node_284	node_286	324	0	324
node_286	KJ641590.1	32	33	-1
node_286	KJ643563.1	37	37	0
node_256	node_287	15	15	0
node_287	node_288	0	0	0
node_288	node_289	57	57	0
node_289	node_290	1	1	0
node_290	KJ643537.1	47	46	1
node_291	KJ643558.1	26	23	3
node_291	KJ643557.1	410	172	238
node_290	node_291	18	18	0
node_289	node_292	1	1	0
node_292	node_293	388	4	384
node_293	KJ643504.1	6	6	0
node_292	node_294	14	14	0
node_293	KJ643573.1	12	12	0
node_294	KJ627680.1	427	359	68
node_294	KJ627679.1	38	38	0
node_295	node_296	6	6	0
node_288	node_295	13	16	-3
node_297	KJ627678.1	39	39	0
node_296	node_297	0	0	0
node_297	JX069803.1	68	68	0
node_296	node_298	0	0	0
node_298	JX069802.1	57	57	0
node_298	KJ627682.1	81	81	0
node_295	node_299	0	0	0
node_299	node_300	37	37	0
node_300	KJ627684.1	5	5	0
node_301	KJ627674.1	21	15	6
node_301	KJ627673.1	87	87	0
node_300	KJ627683.1	60	60	0
node_287	node_302	22	22	0
node_303	node_304	3	3	0
node_299	node_301	69	68	1
node_302	node_303	215	135	80
node_305	KJ627672.1	427	103	324
node_304	node_305	1	1	0
node_304	node_306	28	28	0
node_305	KJ627675.1	86	86	0
node_306	KJ627712.1	103	103	0
node_303	node_307	89	89	0
node_306	KJ627713.1	778	742	36
node_307	node_308	238	0	238
node_308	KJ627710.1	9	9	0
node_307	node_309	4	4	0
node_308	KJ627689.1	616	232	384
node_309	KJ627688.1	10	10	0
node_309	KJ627711.1	727	680	47
node_302	node_310	13	13	0
node_313	KJ627691.1	493	493	0
node_310	node_311	152	152	0
node_312	KJ627700.1	1077	721	356
node_312	KJ627701.1	250	250	0
node_311	node_312	55	55	0
node_311	node_313	354	354	0
node_313	KJ627692.1	1499	1009	490
node_315	KJ627703.1	190	190	0
node_310	node_314	46	49	-3
node_314	node_315	0	0	0
node_315	KJ627706.1	0	0	0
node_316	KJ627707.1	21	21	0
node_314	node_316	0	0	0
node_316	KJ627705.1	16	16	0
node_255	node_317	161	13	148
node_317	node_318	102	94	8
node_319	node_320	37	37	0
node_318	node_319	0	0	0
node_320	node_321	42	42	0
node_321	KJ627704.1	354	29	325
node_321	node_322	1	1	0
node_322	KJ627702.1	51	50	1
node_322	KJ627685.1	87	87	0
node_324	KJ627687.1	6	6	0
node_320	node_323	1	1	0
node_323	node_324	48	48	0
node_324	KJ627686.1	355	31	324
node_323	node_325	45	45	0
node_319	node_326	31	30	1
node_325	KJ627694.1	952	949	3
node_326	node_327	16	16	0
node_325	KJ627693.1	0	0	0
node_327	node_328	0	0	0
node_328	KJ627724.1	342	18	324
node_328	KJ627723.1	6	6	0
node_327	node_329	0	0	0
node_329	KJ627726.1	313	313	0
node_329	KJ627725.1	25	25	0
node_326	node_330	18	18	0
node_331	KJ627665.1	1452	1450	2
node_331	KJ627663.1	1	1	0
node_330	node_331	30	30	0
node_330	node_332	2	2	0
node_332	KJ627664.1	325	2	323
node_332	KJ627657.1	37	37	0
node_318	node_333	4	4	0
node_334	node_335	241	241	0
node_333	node_334	27	18	9
node_335	node_336	4	4	0
node_336	KJ627659.1	629	245	384
node_336	KJ627658.1	567	5	562
node_335	node_337	36	37	-1
node_337	KJ627660.1	1698	898	800
node_337	KJ627670.1	233	235	-2
node_334	node_338	1	1	0
node_338	node_339	11	11	0
node_339	KJ627669.1	564	326	238
node_339	KJ627671.1	28	28	0
node_338	node_340	53	52	1
node_340	KJ627652.1	11	11	0
node_340	KJ627651.1	345	346	-1
node_343	KJ627727.1	369	45	324
node_341	node_342	41	41	0
node_342	node_343	0	0	0
node_333	node_341	0	0	0
node_343	KJ627731.1	7	7	0
node_342	node_344	0	0	0
node_344	KJ627728.1	44	44	0
node_344	MG027860.1	834	321	513
node_341	node_345	73	73	0
node_345	node_346	0	0	0
node_346	JQ901455.1	116	116	0
node_347	KY967364.1	34	34	0
node_346	KJ627733.1	112	111	1
node_345	node_347	101	101	0
node_347	MF973156.1	354	28	326
node_348	node_349	1	1	0
node_317	node_348	142	142	0
node_349	node_350	179	179	0
node_350	node_351	28	28	0
node_353	KF530260.1	779	217	562
node_352	GU591759.1	92	92	0
node_351	node_352	7	7	0
node_352	KF826847.1	123	123	0
node_351	node_353	9	9	0
node_353	KF826854.1	53	53	0
node_355	JX015488.1	364	40	324
node_354	node_355	10	10	0
node_355	JX015485.1	16	16	0
node_350	node_354	30	30	0
node_356	KJ627656.1	62	62	0
node_354	node_356	0	0	0
node_356	KJ939943.1	114	116	-2
node_349	node_357	2	2	0
node_357	node_358	1	1	0
node_358	node_359	291	291	0
node_359	KJ939948.1	2	2	0
node_359	KJ939954.1	25	25	0
node_358	node_360	16	16	0
node_360	MG642048.1	11	11	0
node_361	node_362	2	2	0
node_357	node_361	50	50	0
node_360	MG642055.1	2	2	0
node_362	KU316104.1	94	94	0
node_361	node_363	0	0	0
node_362	KU316176.1	68	68	0
node_363	KP258732.1	1	1	0
node_363	KP258728.1	9	9	0
node_348	node_364	37	37	0
node_366	node_367	0	0	0
node_364	node_365	8	8	0
node_365	node_366	1	1	0
node_367	KP258711.1	19	19	0
node_366	node_368	26	0	26
node_367	KJ723490.1	23	23	0
node_368	KJ723465.1	344	20	324
node_368	KP258710.1	12	12	0
node_365	node_369	14	14	0
node_370	KJ723473.1	31	31	0
node_369	node_370	0	0	0
node_371	KP258701.1	5	5	0
node_370	MG642052.1	7	7	0
node_369	node_371	0	0	0
node_371	MG642061.1	6	6	0
node_372	node_373	0	0	0
node_364	node_372	20	20	0
node_373	node_374	0	0	0
node_374	OK649674.1	455	131	324
node_374	KP258740.1	0	0	0
node_373	node_375	0	0	0
node_375	KU316161.1	332	8	324
node_375	KJ723487.1	3	3	0
node_372	node_376	0	0	0
node_377	OK649676.1	79	79	0
node_376	node_377	0	0	0
node_377	KP258722.1	3	3	0
node_376	node_378	37	37	0
node_378	KU316121.1	52	52	0
node_378	KP258707.1	82	81	1
node_254	node_379	362	230	132
node_381	node_382	226	85	141
node_382	node_383	13	13	0
node_380	node_381	232	58	174
node_379	node_380	238	214	24
node_383	node_384	7	7	0
node_384	KU316170.1	41	40	1
node_384	node_385	39	39	0
node_385	OK649671.1	64	64	0
node_385	KU316096.1	342	18	324
node_386	node_387	1	1	0
node_383	node_386	77	79	-2
node_387	KU316145.1	130	132	-2
node_386	node_388	97	97	0
node_388	KU316180.1	415	186	229
node_387	JF920059.2	2957	2477	480
node_382	node_389	2	2	0
node_389	node_390	26	26	0
node_388	JF920061.2	3567	2974	593
node_390	node_391	1	1	0
node_391	KP258727.1	100	100	0
node_390	node_392	8	8	0
node_391	KP258726.1	47	47	0
node_392	KP258703.1	43	43	0
node_393	node_394	325	3	322
node_389	node_393	170	169	1
node_394	KJ723462.1	167	166	1
node_394	KJ627697.1	1482	1127	355
node_393	node_395	13	13	0
node_395	KJ627696.1	20	20	0
node_396	node_397	72	8	64
node_395	KJ627699.1	100	100	0
node_381	node_396	48	19	29
node_397	node_398	97	97	0
node_398	node_399	156	155	1
node_399	KJ627698.1	794	681	113
node_399	KJ627695.1	16	16	0
node_398	node_400	254	232	22
node_392	JF920060.1	11249	6141	5108
node_400	KP258699.1	761	321	440
node_401	node_402	15	13	2
node_397	node_401	21	21	0
node_402	MG642079.1	0	0	0
node_402	MG642031.1	0	0	0
node_401	node_403	24	21	3
node_396	node_404	113	113	0
node_403	MG642083.1	60	60	0
node_404	node_405	174	174	0
node_400	KP856964.1	10251	6163	4088
node_405	node_406	252	14	238
node_403	KU316133.1	76	75	1
node_406	KJ723486.2	468	468	0
node_406	KP258716.1	4011	2340	1671
node_407	KU316150.1	266	264	2
node_405	node_407	2	2	0
node_407	KP258704.1	339	338	1
node_404	node_408	82	79	3
node_408	node_409	9	9	0
node_409	KP258696.1	21	21	0
node_409	MG642041.1	4864	2527	2337
node_408	node_410	41	41	0
node_410	KJ723468.2	6	6	0
node_410	KP258715.1	4	4	0
node_380	node_411	227	44	183
node_411	node_412	70	69	1
node_413	node_414	1	1	0
node_414	node_415	0	0	0
node_412	node_413	0	0	0
node_414	KU316093.1	258	255	3
node_415	MG642032.1	2	2	0
node_415	MG642040.1	3	3	0
node_413	node_416	0	0	0
node_416	node_417	0	0	0
node_417	KP258709.1	3	3	0
node_417	MG642058.1	2	2	0
node_416	node_418	1	1	0
node_418	KJ723488.1	27	27	0
node_418	KU316090.1	7	7	0
node_412	node_419	163	163	0
node_419	node_420	0	0	0
node_421	KU316135.1	167	167	0
node_420	node_421	0	0	0
node_421	MG642024.1	168	168	0
node_420	node_422	0	0	0
node_422	KP856967.1	194	193	1
node_419	node_423	0	0	0
node_423	node_424	2	2	0
node_422	MG642028.1	168	168	0
node_425	KU316143.1	1124	296	828
node_423	node_425	135	134	1
node_425	MG642074.1	211	211	0
node_424	KP258725.1	164	164	0
node_411	node_426	246	246	0
node_426	node_427	50	50	0
node_427	node_428	55	59	-4
node_428	node_429	172	172	0
node_424	KJ723471.1	8975	5656	3319
node_429	KP856969.1	102	101	1
node_428	node_430	35	35	0
node_429	KU316149.1	85	85	0
node_430	MG642073.1	7364	5520	1844
node_427	node_431	6	6	0
node_431	node_432	261	231	30
node_430	KU316157.1	23	23	0
node_432	KU316137.1	327	4	323
node_432	KU316178.1	9	9	0
node_433	MN365405.1	9	9	0
node_434	node_435	227	226	1
node_433	MN365509.1	1	1	0
node_435	node_436	0	0	0
node_436	MN365394.1	284	190	94
node_435	node_437	2	2	0
node_431	node_433	4488	2957	1531
node_436	MN365402.1	41	41	0
node_437	MN365391.1	40	40	0
node_426	node_434	4415	2887	1528
node_437	MN365542.1	1	1	0
node_434	node_438	1	2	-1
node_439	MN365397.1	249	249	0
node_438	node_439	0	0	0
node_439	MN365404.1	10	10	0
node_438	node_440	0	0	0
node_440	MN365311.1	25	25	0
node_440	MN365395.1	105	105	0
