Parent	Child	PanMAN_Diff	MAFFT_Diff
node_143	KF826841.1	274	274
node_150	KF826836.1	484	461
node_133	node_134	46	46
node_139	KF826826.1	1061	241
node_143	JQ901448.1	691	273
node_145	KF530268.1	279	259
node_135	node_136	24	24
node_136	OK649595.1	244	244
node_134	node_135	4	4
node_134	node_137	11	11
node_133	node_140	31	30
node_142	KF826828.1	473	473
node_141	node_143	0	0
node_144	node_145	19	19
node_140	node_144	25	25
node_137	node_139	32	32
node_152	node_154	234	234
node_147	node_148	11	6
node_150	KF826816.1	2334	1407
node_136	OK649606.1	947	249
node_140	node_141	20	2
node_148	node_149	381	55
node_138	OK649635.1	1069	253
node_149	node_150	640	270
node_144	node_146	500	2
node_148	node_152	61	61
node_153	MH760599.1	922	57
node_154	MF001038.1	1288	475
node_152	node_153	46	50
node_153	KX765933.1	283	285
node_146	KF826837.1	563	243
node_151	KF826846.1	538	218
node_142	KF530267.1	11087	5287
node_147	node_155	36	39
node_154	KF826832.1	528	511
node_155	node_156	59	61
node_156	node_157	386	17
node_158	KJ627677.1	1911	877
node_157	KJ627708.1	703	203
node_158	KJ627676.1	213	213
node_165	KJ627690.1	309	300
node_131	node_162	3	4
node_160	KF826824.1	205	205
node_157	KJ627709.1	519	199
node_165	node_166	48	50
node_159	node_160	543	46
node_161	JQ901454.1	657	290
node_168	KJ643551.1	698	200
node_166	KJ643523.1	1409	221
node_156	node_158	40	40
node_155	node_159	26	28
node_160	KF826823.1	613	246
node_162	node_163	3	3
node_164	node_165	1	1
node_172	KJ643547.1	717	717
node_167	node_168	386	12
node_167	node_169	1	1
node_163	node_164	8	8
node_175	KJ643555.1	715	220
node_174	node_176	1	1
node_171	node_173	5	8
node_161	JQ901451.1	290	290
node_172	KJ643486.1	197	197
node_163	node_170	321	1
node_166	KJ643545.1	214	214
node_180	KJ643491.1	1062	194
node_168	KJ643556.1	533	213
node_173	KJ643485.1	604	236
node_159	node_161	40	43
node_171	node_172	56	56
node_162	node_177	3	3
node_183	KJ643552.1	896	208
node_164	node_167	502	4
node_170	node_171	15	14
node_169	KJ643553.1	709	209
node_173	KJ643525.1	729	238
node_176	KJ643579.1	1130	257
node_170	node_174	5	5
node_182	node_183	2	2
node_169	KJ643554.1	225	225
node_180	KJ643512.1	255	255
node_187	KJ643474.1	706	208
node_182	node_184	52	53
node_176	KJ643546.1	208	211
node_181	KJ643535.1	257	257
node_191	KJ643538.1	239	239
node_174	node_175	4	4
node_197	KJ643507.1	1047	229
node_181	KJ643567.1	540	220
node_177	node_178	34	34
node_185	node_189	6	6
node_191	KJ643493.1	233	232
node_178	node_179	0	0
node_183	KJ643503.1	1220	225
node_175	KJ643548.1	994	304
node_186	node_188	13	16
node_193	node_194	258	3
node_179	node_180	0	0
node_179	node_181	1	1
node_188	KJ643484.1	1052	231
node_184	KJ643534.1	1410	225
node_184	KJ643468.1	255	253
node_190	KJ643483.1	210	213
node_198	node_200	0	0
node_189	node_191	37	8
node_200	KJ643470.1	926	235
node_178	node_182	524	27
node_194	node_195	522	3
node_196	KJ643495.1	650	278
node_185	node_186	698	8
node_188	KJ643475.1	594	224
node_189	node_190	6	10
node_186	node_187	3	3
node_192	node_193	494	2
node_187	KJ643497.1	265	267
node_190	KJ643472.1	1930	1003
node_196	node_197	12	15
node_197	KJ643509.1	3012	1520
node_177	node_185	3	4
node_200	KJ643506.1	949	259
node_195	node_198	19	23
node_198	node_199	0	0
node_203	KJ643462.1	1481	296
node_199	KJ643476.1	969	281
node_201	node_202	5	5
node_203	KJ643494.1	233	233
node_199	KJ643519.1	949	259
node_195	node_196	5	6
node_130	node_192	78	56
node_202	node_204	6	6
node_204	KJ643471.1	216	215
node_194	node_201	1	1
node_202	node_203	8	9
node_204	KJ643488.1	935	245
node_205	node_206	11	10
node_201	node_205	2	2
node_205	node_207	2	5
node_207	KJ643482.1	971	285
node_207	KJ643500.1	1830	890
node_206	KJ643589.1	250	250
node_206	KJ643530.1	1613	233
node_209	node_210	3	3
node_220	node_222	26	26
node_193	node_208	64	40
node_213	node_214	0	0
node_218	KJ643481.1	627	307
node_211	KJ643549.1	722	229
node_211	KJ643576.1	1102	234
node_219	KJ643528.1	1088	226
node_221	KJ643465.1	364	364
node_212	KJ643586.1	1074	257
node_210	node_211	22	23
node_209	node_213	0	0
node_208	node_209	25	25
node_210	node_212	25	26
node_213	node_215	4	4
node_227	KJ643522.1	248	243
node_217	node_218	0	0
node_218	KJ643536.1	1117	242
node_212	KJ643469.1	716	224
node_208	node_216	210	16
node_216	node_220	0	0
node_225	node_226	2	2
node_215	KJ643502.1	720	228
node_216	node_217	599	107
node_222	KJ643540.1	632	262
node_214	KJ643583.1	712	220
node_214	KJ643496.1	1036	751
node_217	node_219	0	0
node_215	KJ643513.1	932	243
node_223	node_224	3	3
node_228	KJ643570.1	3	3
node_228	KJ643499.1	1059	185
node_227	KJ643587.1	1184	2
node_192	node_223	2	2
node_230	KJ643531.1	247	247
node_234	KJ643580.1	296	296
node_219	KJ643511.1	228	228
node_235	KJ643510.1	241	243
node_224	node_225	8	10
node_231	KJ643564.1	648	280
node_222	KJ643565.1	299	301
node_220	node_221	0	0
node_226	node_227	0	0
node_231	KJ643568.1	733	235
node_236	node_238	3	3
node_229	node_230	1	1
node_229	node_231	11	10
node_226	node_228	76	76
node_235	KJ643501.1	919	231
node_236	node_237	2	6
node_230	KJ643527.1	1128	262
node_221	KJ643479.1	2045	544
node_232	node_236	6	9
node_225	node_229	323	3
node_234	KJ643560.1	609	291
node_224	node_232	5	5
node_241	node_242	35	37
node_233	node_234	4	4
node_239	node_240	4	4
node_239	node_247	503	11
node_252	KJ643498.1	740	242
node_243	KJ643585.1	598	228
node_240	node_241	5	7
node_233	node_235	498	0
node_241	node_243	15	19
node_245	KJ643569.1	275	279
node_245	KJ643521.1	422	423
node_238	KJ643575.1	1067	249
node_242	KJ643578.1	851	481
node_242	KJ643463.1	1022	210
node_249	KJ643582.1	232	232
node_238	KJ643543.1	271	272
node_237	KJ643524.1	572	257
node_246	KJ643520.1	738	240
node_247	node_248	321	1
node_232	node_233	2	2
node_237	KJ643533.1	1346	486
node_243	KJ643478.1	1561	262
node_249	KJ643559.1	1590	289
node_246	KJ643562.1	278	274
node_244	node_245	4	8
node_244	node_246	697	7
node_250	KJ643542.1	265	265
node_251	node_253	12	17
node_223	node_239	382	13
node_248	node_249	378	8
node_247	node_251	6	7
node_248	node_250	16	19
node_251	node_252	13	14
node_252	KJ643505.1	248	246
node_240	node_244	6	8
node_250	KJ643561.1	324	320
node_253	KJ643467.1	577	266
node_253	KJ643577.1	1144	280
node_254	node_255	676	587
node_263	KJ643515.1	639	321
node_260	KJ643508.1	681	315
node_256	node_257	41	49
node_257	node_258	174	197
node_4	node_254	1417	507
node_258	node_259	473	1
node_255	node_256	501	318
node_266	node_267	1	1
node_259	node_260	7	6
node_265	node_266	2	2
node_267	KJ643588.1	894	356
node_270	KJ643544.1	260	252
node_262	node_263	2	2
node_282	KJ643517.1	613	243
node_264	KJ643464.1	781	285
node_257	node_272	231	178
node_269	node_270	24	27
node_261	KJ643489.1	1948	1110
node_263	KJ643514.1	1148	281
node_267	KJ643466.1	631	262
node_271	KJ643539.1	2564	1496
node_266	node_268	388	17
node_261	KJ643529.1	1111	251
node_268	KJ643571.1	233	233
node_272	node_280	0	0
node_260	node_261	2	2
node_268	KJ643572.1	618	248
node_258	node_265	3	3
node_269	node_271	31	31
node_259	node_262	1	1
node_270	KJ643574.1	462	142
node_272	node_273	13	14
node_276	KJ643532.1	376	382
node_275	KJ643492.1	1911	559
node_279	KJ643550.1	233	233
node_280	node_281	1	2
node_283	KJ643526.1	699	327
node_276	KJ643581.1	699	325
node_287	node_288	49	1
node_271	KJ643473.1	1054	350
node_256	node_287	334	116
node_273	node_277	380	67
node_273	node_274	1	2
node_274	node_275	0	0
node_278	KJ643541.1	1172	879
node_262	node_264	1	3
node_281	node_282	0	0
node_277	node_279	1	3
node_264	KJ643490.1	1369	310
node_277	node_278	0	0
node_283	KJ643516.1	1286	596
node_274	node_276	1	1
node_281	node_283	8	11
node_285	KJ643518.1	624	255
node_290	node_291	1	1
node_289	node_292	3	3
node_279	KJ643566.1	625	253
node_288	node_289	19	19
node_296	node_297	2	2
node_297	JX069803.1	1009	320
node_298	JX069802.1	309	309
node_278	KJ643477.1	958	264
node_293	KJ643504.1	6	6
node_286	KJ641590.1	356	40
node_265	node_269	155	10
node_275	KJ643584.1	673	305
node_286	KJ643563.1	39	37
node_289	node_290	7	1
node_291	KJ643558.1	271	271
node_284	node_285	0	0
node_291	KJ643557.1	1166	420
node_292	node_294	386	16
node_285	KJ643480.1	802	304
node_284	node_286	623	248
node_282	KJ643487.1	660	290
node_294	KJ627679.1	639	269
node_293	KJ643573.1	12	12
node_288	node_295	381	11
node_280	node_284	30	33
node_292	node_293	609	233
node_295	node_296	31	34
node_298	KJ627682.1	1161	294
node_296	node_298	0	0
node_297	KJ627678.1	273	268
node_300	KJ627684.1	1148	281
node_290	KJ643537.1	625	271
node_295	node_299	2	2
node_301	KJ627673.1	1049	313
node_299	node_300	41	42
node_294	KJ627680.1	940	584
node_300	KJ627683.1	651	281
node_299	node_301	68	72
node_302	node_303	49	53
node_301	KJ627674.1	267	268
node_303	node_304	10	10
node_287	node_302	49	47
node_304	node_305	3	3
node_305	KJ627675.1	241	240
node_304	node_306	404	34
node_305	KJ627672.1	583	263
node_306	KJ627713.1	1775	898
node_308	KJ627689.1	332	12
node_310	node_311	247	250
node_311	node_312	53	53
node_316	KJ627705.1	274	275
node_310	node_314	410	41
node_302	node_310	181	15
node_308	KJ627710.1	749	249
node_312	KJ627700.1	1771	1150
node_307	node_308	3	3
node_311	node_313	953	700
node_307	node_309	16	19
node_313	KJ627692.1	3060	1880
node_315	KJ627703.1	537	163
node_306	KJ627712.1	259	259
node_314	node_315	8	9
node_312	KJ627701.1	1012	585
node_309	KJ627688.1	604	237
node_255	node_317	250	244
node_317	node_318	216	135
node_321	node_322	376	8
node_309	KJ627711.1	1508	897
node_321	KJ627704.1	644	274
node_319	node_320	270	48
node_319	node_326	20	21
node_303	node_307	469	7
node_316	KJ627707.1	1433	245
node_318	node_319	63	37
node_320	node_321	45	45
node_336	KJ627658.1	13	10
node_314	node_316	6	6
node_322	KJ627685.1	333	330
node_326	node_330	17	18
node_322	KJ627702.1	264	264
node_326	node_327	17	17
node_323	node_324	55	55
node_330	node_331	28	30
node_313	KJ627691.1	2380	1117
node_315	KJ627706.1	762	264
node_327	node_328	2	2
node_324	KJ627687.1	245	245
node_335	node_337	35	36
node_337	KJ627670.1	602	235
node_329	KJ627726.1	1563	548
node_325	KJ627694.1	2083	1178
node_332	KJ627664.1	1309	248
node_325	KJ627693.1	1097	229
node_328	KJ627723.1	240	236
node_324	KJ627686.1	651	274
node_329	KJ627725.1	583	262
node_333	node_334	400	30
node_339	KJ627669.1	937	555
node_320	node_323	329	11
node_331	KJ627663.1	230	230
node_330	node_332	3	6
node_323	node_325	50	50
node_341	node_342	53	56
node_336	KJ627659.1	752	254
node_327	node_329	4	4
node_332	KJ627657.1	272	272
node_331	KJ627665.1	2928	1678
node_342	node_344	0	0
node_328	KJ627724.1	946	256
node_335	node_336	5	7
node_339	KJ627671.1	253	253
node_343	KJ627731.1	641	274
node_345	node_346	378	11
node_334	node_338	8	9
node_338	node_339	23	24
node_340	KJ627651.1	766	542
node_342	node_343	0	0
node_340	KJ627652.1	561	242
node_318	node_333	32	32
node_333	node_341	48	15
node_338	node_340	44	44
node_344	MG027860.1	493	496
node_347	KY967364.1	649	279
node_337	KJ627660.1	1777	898
node_334	node_335	1	1
node_345	node_347	103	103
node_350	node_351	436	33
node_346	KJ627733.1	335	335
node_347	MF973156.1	1102	285
node_348	node_349	1	1
node_341	node_345	408	96
node_344	KJ627728.1	230	230
node_346	JQ901455.1	364	364
node_317	node_348	179	182
node_352	KF826847.1	353	319
node_343	KJ627727.1	600	232
node_350	node_354	39	41
node_353	KF530260.1	37	36
node_352	GU591759.1	1049	313
node_353	KF826854.1	595	278
node_351	node_352	9	9
node_349	node_350	153	152
node_351	node_353	30	33
node_354	node_355	11	11
node_354	node_356	0	0
node_355	JX015485.1	587	217
node_361	node_363	0	0
node_349	node_357	382	62
node_356	KJ627656.1	588	177
node_355	JX015488.1	609	239
node_367	KP258711.1	1253	193
node_358	node_359	260	255
node_368	KJ723465.1	695	194
node_360	MG642048.1	438	118
node_359	KJ939948.1	515	145
node_357	node_358	1	1
node_364	node_372	20	20
node_348	node_364	30	30
node_358	node_360	15	15
node_362	KU316104.1	26	26
node_363	KP258732.1	485	115
node_365	node_366	1	1
node_365	node_369	14	14
node_356	KJ939943.1	315	315
node_357	node_361	43	43
node_360	MG642055.1	977	109
node_362	KU316176.1	486	166
node_361	node_362	370	0
node_363	KP258728.1	443	123
node_377	KP258722.1	547	177
node_370	KJ723473.1	951	205
node_359	KJ939954.1	167	167
node_368	KP258710.1	506	186
node_367	KJ723490.1	204	197
node_366	node_367	0	0
node_383	node_384	8	8
node_366	node_368	0	0
node_372	node_373	370	0
node_373	node_375	0	0
node_369	node_370	0	0
node_376	node_378	39	39
node_369	node_371	320	0
node_371	KP258701.1	549	179
node_371	MG642061.1	180	180
node_364	node_365	378	8
node_376	node_377	0	0
node_372	node_376	0	0
node_378	KP258707.1	560	241
node_373	node_374	0	0
node_375	KU316161.1	680	182
node_384	node_385	221	221
node_374	OK649674.1	683	305
node_387	KU316145.1	431	426
node_377	OK649676.1	263	253
node_382	node_383	231	96
node_384	KU316170.1	741	371
node_391	KP258727.1	428	428
node_379	node_380	749	749
node_386	node_387	6	6
node_380	node_381	520	453
node_393	node_395	33	44
node_370	MG642052.1	181	181
node_374	KP258740.1	174	174
node_378	KU316121.1	209	209
node_389	node_393	462	140
node_389	node_390	405	27
node_391	KP258726.1	377	377
node_383	node_386	51	42
node_388	JF920061.2	6115	3153
node_385	OK649671.1	220	210
node_381	node_382	423	151
node_397	node_398	85	85
node_254	node_379	1230	1066
node_393	node_394	4	4
node_385	KU316096.1	483	164
node_387	JF920059.2	4659	2546
node_390	node_391	1	1
node_386	node_388	195	24
node_392	KP258703.1	373	373
node_382	node_389	85	87
node_398	node_399	200	163
node_375	KJ723487.1	184	177
node_381	node_396	263	180
node_398	node_400	23	23
node_399	KJ627695.1	541	221
node_394	KJ723462.1	489	490
node_390	node_392	32	9
node_395	KJ627699.1	440	440
node_395	KJ627696.1	730	360
node_402	MG642079.1	512	192
node_399	KJ627698.1	1890	886
node_396	node_397	284	284
node_401	node_402	13	13
node_394	KJ627697.1	2911	1202
node_400	KP258699.1	757	316
node_388	KU316180.1	1275	387
node_402	MG642031.1	192	192
node_392	JF920060.1	12198	6197
node_397	node_401	18	18
node_403	MG642083.1	247	247
node_400	KP856964.1	11156	6172
node_401	node_403	16	16
node_403	KU316133.1	628	259
node_396	node_404	770	381
node_407	KU316150.1	576	133
node_405	node_407	3	3
node_406	KJ723486.2	495	495
node_404	node_408	258	78
node_412	node_413	160	160
node_405	node_406	117	15
node_404	node_405	332	12
node_408	node_409	10	10
node_409	MG642041.1	5232	2720
node_408	node_410	39	39
node_407	KP258704.1	364	364
node_409	KP258696.1	211	211
node_413	node_416	0	0
node_410	KP258715.1	695	197
node_406	KP258716.1	5401	2463
node_415	MG642040.1	168	168
node_380	node_411	403	279
node_416	node_418	1	1
node_417	KP258709.1	168	168
node_412	node_419	167	161
node_414	KU316093.1	418	411
node_414	node_415	542	5
node_419	node_420	0	0
node_420	node_422	0	0
node_418	KJ723488.1	191	191
node_416	node_417	0	0
node_418	KU316090.1	178	172
node_411	node_412	351	353
node_417	MG642058.1	1029	167
node_410	KJ723468.2	199	199
node_420	node_421	0	0
node_421	MG642024.1	1039	171
node_415	MG642032.1	166	166
node_421	KU316135.1	668	170
node_425	MG642074.1	543	223
node_413	node_414	6	6
node_422	MG642028.1	177	171
node_428	node_430	290	290
node_429	KU316149.1	258	258
node_425	KU316143.1	795	289
node_424	KP258725.1	709	167
node_423	node_424	2	2
node_433	MN365509.1	2	2
node_427	node_431	41	41
node_438	node_439	0	0
node_430	KU316157.1	185	185
node_423	node_425	126	126
node_424	KJ723471.1	10895	5492
node_422	KP856967.1	196	196
node_419	node_423	0	0
node_432	KU316137.1	673	673
node_426	node_427	0	0
node_437	MN365542.1	5	5
node_439	MN365397.1	664	258
node_432	KU316178.1	674	674
node_440	MN365311.1	31	33
node_428	node_429	425	419
node_434	node_435	455	452
node_411	node_426	498	363
node_429	KP856969.1	255	255
node_433	MN365405.1	8	8
node_441	node_442	0	0
node_430	MG642073.1	9633	5354
node_431	node_432	160	160
node_426	node_434	29017	3745
node_445	MN365390.1	1074	186
node_435	node_437	6	6
node_434	node_438	224	224
node_439	MN365404.1	3	3
node_442	node_443	655	207
node_427	node_428	252	252
node_445	node_446	5	5
node_431	node_433	29321	3547
node_436	MN365402.1	923	49
node_379	node_441	28457	4023
node_444	node_445	0	0
node_437	MN365391.1	923	44
node_438	node_440	1	1
node_448	MN365393.1	137	140
node_446	MN365398.1	0	0
node_449	MN365437.1	9	9
node_435	node_436	0	0
node_440	MN365395.1	546	98
node_444	node_447	0	0
node_447	node_448	0	0
node_436	MN365394.1	728	186
node_443	node_444	5	5
node_446	MN365548.1	71	71
node_447	node_449	1	1
node_448	MN365432.1	69	69
node_451	node_452	688	240
node_449	MN365334.1	1593	270
node_452	MN365582.1	409	1
node_443	node_450	1	1
node_452	MN365438.1	172	172
node_451	node_453	42	46
node_450	node_451	644	236
node_453	MN365549.1	373	377
node_453	MN365403.1	2012	2012
node_450	node_454	0	0
node_454	node_455	0	0
node_442	node_457	424	424
node_459	node_460	53	53
node_457	node_458	13	13
node_454	node_456	0	0
node_456	MN365400.1	453	45
node_458	node_459	683	235
node_463	MN365339.1	1070	242
node_455	MN365553.1	63	63
node_461	MN365406.1	915	59
node_460	MN365392.1	5	5
node_472	node_473	229	229
node_462	node_464	0	0
node_465	node_466	479	9
node_455	MN365396.1	632	183
node_462	node_463	2	2
node_458	node_462	8	8
node_457	node_465	27	27
node_471	MN365407.1	31	9
node_464	MN365416.1	483	13
node_459	node_461	1	1
node_469	node_471	461	13
node_465	node_469	26	36
node_467	MN365371.1	24	24
node_473	node_474	25	25
node_464	MN365323.1	469	61
node_467	MN365495.1	56	51
node_461	MN365435.1	475	5
node_460	MN365508.1	16	16
node_463	MN365505.1	510	41
node_466	node_467	0	0
node_456	MN365401.1	507	59
node_469	node_470	1	1
node_470	MN365506.1	448	40
node_479	MN365581.1	480	9
node_466	node_468	1	1
node_470	MN365571.1	478	8
node_468	MN365514.1	21	21
node_475	node_477	2	2
node_474	node_475	17	19
node_471	MN365578.1	744	151
node_481	node_482	455	7
node_468	MN365424.1	1574	246
node_473	node_481	1	1
node_483	MN365439.1	40	37
node_476	MN365576.1	421	14
node_474	node_478	1	1
node_484	MN365428.1	17	17
node_480	MN365511.1	19	19
node_478	node_480	3	3
node_484	MN365477.1	448	32
node_482	node_483	0	0
node_477	MN365433.1	456	8
node_476	MN365577.1	496	26
node_482	node_484	35	35
node_475	node_476	3	2
node_485	node_487	3	3
node_483	MN365483.1	486	39
node_441	node_472	7	7
node_480	MN365537.1	60	60
node_486	MN365512.1	466	18
node_490	node_491	0	0
node_485	node_486	1	4
node_487	MN365341.1	6	6
node_494	MN365572.1	33	31
node_489	node_490	448	0
node_479	MN365507.1	156	55
node_492	MN365314.1	7	7
node_496	node_497	470	0
node_477	MN365574.1	427	20
node_498	MN365327.1	6	6
node_491	MN365580.1	12	9
node_486	MN365570.1	90	94
node_487	MN365552.1	482	12
node_492	MN365312.1	864	8
node_478	node_479	0	0
node_493	node_495	1019	323
node_488	node_496	271	268
node_490	node_492	7	7
node_472	node_488	204	204
node_494	MN365476.1	20	20
node_491	MN365399.1	5	5
node_481	node_485	27	28
node_495	MN365513.1	288	288
node_489	node_493	471	1
node_495	MN365425.1	942	468
node_497	node_498	11	11
node_493	node_494	264	262
node_501	MN365373.1	913	54
node_488	node_489	0	0
node_497	node_499	29	29
node_498	MN365560.1	1282	6
node_499	MN365318.1	27	27
node_500	node_502	0	0
node_496	node_500	408	0
node_499	MN365328.1	18	18
node_500	node_501	0	0
node_502	MN365534.1	9	9
node_501	MN365322.1	10	10
node_503	node_504	237	237
node_502	MN365474.1	18	18
node_505	node_506	47	47
node_504	node_505	31	31
