Parent	Child	PanMAN_Diff	MAFFT_Diff
node_28	22_01A1.CM.2010.DE02210CM003.KP109498	1439	397
node_30	node_35	608	353
node_33	0222.CM.2002.02CAMLT04.EU743964	2045	969
node_36	22_01A1.CM.2010.10CMLB071.MT349410	2284	1153
node_35	node_36	65	65
node_35	node_37	382	199
node_30	node_31	513	513
node_36	138_cpx.BE.2019.B.MN989925	1077	695
node_37	node_38	613	248
node_39	node_40	760	177
node_29	node_39	458	461
node_41	AF2.CM.2002.02CM_3163MN.AY371160	1933	1279
node_39	node_44	472	261
node_38	138_cpx.CM.2011.CHU3903.KP718932	507	498
node_40	node_42	511	203
node_40	node_41	1054	441
node_42	node_43	429	423
node_45	45_cpx.CM.1997.97CM_MP814.FN392876	1957	986
node_38	22F2.CM.2007.BS72.KR017779	1140	827
node_47	A1.CM.2011.11CMMDC241.MT349418	1833	922
node_48	node_49	39	39
node_46	node_47	1162	844
node_9	node_48	513	470
node_41	45_cpx.GA.1997.97GA_TB45.FN392877	1104	944
node_44	node_46	617	255
node_46	45_cpx.CD.1997.97CD_MBFE185.FN392874	872	880
node_47	AU.CD.1987.PBS1342.MH705135	2317	1661
node_44	node_45	493	195
node_45	45_cpx.CD.1997.97CD_MBS30.FN392875	1895	1321
node_49	node_50	1118	779
node_50	node_51	731	401
node_51	node_52	709	188
node_51	node_53	0	0
node_52	A1U.FR.2011.180002_2.OP994682	195	188
node_53	A1U.FR.2011.180002_11.OP994688	560	0
node_55	A1U.FR.2011.180002_15.OP994693	871	539
node_57	A1D.UG.2007.DEURF08UG002.KF716504	2002	584
node_52	A1.CY.2006.CY154.FJ388943	2259	1584
node_58	node_59	389	123
node_54	node_55	314	22
node_55	A1U.FR.2011.180002_13.OP994691	2010	508
node_56	node_57	436	134
node_53	A1U.FR.2011.180002_3.OP994683	1072	0
node_49	node_58	82	83
node_50	node_54	339	125
node_59	node_60	567	423
node_56	A1D.UG.2007.p191947.JX236674	1281	1284
node_60	02A1.PK.2014.PK015.KX232608	1418	1302
node_59	node_61	230	216
node_60	02A1.PK.2014.DEURF14PK015.KU749414	1944	761
node_54	node_56	1754	1197
node_57	AU.CD.1997.97CD_KMST91.FM877784	2044	1368
node_61	node_62	427	181
node_61	02A1.PK.2015.DEURF15PK033.KY658719	1259	516
node_62	A1.PK.2014.PK017.KX232610	1721	1096
node_62	02A1.PK.2015.PK033.KX232623	700	443
node_65	A1.PK.2014.PK002.KX232595	794	202
node_69	node_71	862	334
node_68	node_69	60	62
node_58	node_63	117	118
node_70	A1.PK.2015.DEMA115PK021.MT222942	1826	978
node_69	node_70	408	138
node_63	node_65	762	762
node_64	A1.PK.2014.PK016.KX232609	890	576
node_67	node_68	237	236
node_66	A1.PK.2015.PK021.KX232614	2487	694
node_65	node_66	43	37
node_64	A1.PK.2014.PK018.KX232611	1846	598
node_63	node_64	384	382
node_72	A1.PK.2014.PK001.KX232594	1414	597
node_70	A1.PK.2014.PK014.KX232607	2344	1085
node_66	A1.PK.2014.DEMA114PK002.KU749410	1401	111
node_48	node_67	403	102
node_71	node_72	735	458
node_71	A1.PK.2014.DEMA114PK001.KU749409	856	850
node_68	node_73	379	382
node_72	A1.PK.2014.PK004.KX232597	2535	1067
node_73	node_74	295	286
node_74	A1.PK.2014.DEMA114PK013.KU749411	1456	575
node_79	A1.PK.2015.PK036.KX232626	1849	897
node_73	node_75	628	626
node_78	node_79	160	157
node_77	node_78	35	35
node_79	A1.PK.2015.PK034.KX232624	2046	883
node_80	node_81	7	7
node_78	node_80	647	385
node_80	A1.PK.2015.PK030.KX232620	844	582
node_75	A1.PK.2015.PK026.KX232618	1409	449
node_76	A1.PK.2014.PK027.KX232619	1284	222
node_75	node_76	192	189
node_81	A1.PK.2015.PK031.KX232621	2872	519
node_74	A1.PK.2014.PK013.KX232606	731	421
node_76	A1.PK.2014.DEMA114PK027.KY658714	1914	915
node_81	A1.PK.2015.DEMA115PK030.KY658715	783	515
node_67	node_77	137	136
node_77	node_82	106	106
node_8	node_86	164	167
node_86	node_87	257	100
node_82	node_83	108	108
node_83	A1.PK.2014.PK007.KX232600	1206	721
node_92	02A1.PK.2015.PK039.KX232628	1216	743
node_90	node_92	352	25
node_91	02_AG.PK.2015.PK024.KX232616	1713	922
node_83	A1.PK.2015.DEMA115PK031.KY658716	1501	743
node_88	node_89	300	304
node_90	node_91	355	141
node_82	node_84	1283	1236
node_84	02_AG.PK.2015.PK032.KX232622	1341	562
node_85	02A1.PK.2015.PK038.KX232627	1064	303
node_85	02A1.PK.2015.DE00215PK038.KY658713	961	244
node_87	node_88	270	269
node_92	02_AG.PK.2015.DE00215PK035.KY658712	2674	1447
node_89	node_90	377	217
node_91	02A1.PK.2014.PK019.KX232612	1354	858
node_84	node_85	521	271
node_89	node_93	456	192
node_93	node_94	43	43
node_88	node_97	368	252
node_94	02_AG.PK.2015.PK035.KX232625	2001	956
node_101	02A1.PK.2014.PK008.KX232601	1620	1379
node_101	02A1.PK.2014.PK012.KX232605	1134	737
node_97	node_98	867	229
node_98	node_99	768	440
node_97	node_102	474	361
node_98	node_100	551	542
node_100	node_101	266	245
node_100	02A1.PK.2014.DEURF14PK012.KY658717	1928	748
node_96	02A1.PK.2015.DEURF15PK023.KY658718	1941	634
node_94	02A1.PK.2015.PK025.KX232617	1929	943
node_96	02A1.PK.2015.PK023.KX232615	970	504
node_95	02A1.PK.2014.PK003.KX232596	1467	719
node_93	node_95	531	385
node_99	02A1.PK.2014.DEURF14PK006.KU749413	2345	1186
node_95	node_96	277	259
node_99	02A1.PK.2014.PK006.KX232599	1938	950
node_102	node_103	315	312
node_87	node_106	531	505
node_102	node_104	803	799
node_103	02A1.PK.2015.PK040.KX232629	1530	1053
node_110	A4.CD.1997.97CD_KTB13.AM000054	1243	1011
node_106	node_107	677	342
node_104	node_105	370	235
node_104	A8.CV.2010.CV.10.126.MW353967	1111	875
node_103	02A1.PK.2015.DEURF15PK040.MT222943	2436	967
node_112	node_113	129	119
node_107	node_112	406	409
node_113	26C.CD.1997.97CD_KFE267.FM877778	3397	1718
node_110	node_111	298	302
node_108	node_109	358	306
node_111	26_A5U.CD.2002.02CD_KS069.FM877780	1875	1510
node_109	AH.CM.2015.DEURF15CM057.MT222938	2614	1728
node_105	A1H.CM.2011.CHU2727.KP718933	2290	1419
node_107	node_108	200	196
node_111	A4.CD.1997.97CD_KCC2.AM000053	2554	1535
node_105	A8.CV.2010.CV.10.115.MW353966	1331	750
node_109	A4.CD.2002.02CD_KTB035.AM000055	2632	1997
node_108	node_110	603	238
node_113	26_A5U.CD.1997.97CD_KTB119.FM877777	1941	1622
node_112	node_114	372	116
node_106	node_116	779	428
node_114	node_115	360	120
node_122	J.CD.1997.J_97DC_KTB147.EF614151	1365	793
node_116	node_117	927	209
node_115	26_A5U.CD.2002.02CD_MBTB047.FM877782	2004	1655
node_117	node_118	739	495
node_117	node_119	1474	1186
node_118	26C.CD.2002.02CD_LBTB032.FM877779	3338	2194
node_122	JU.AO.1993.93AOHDC250.KU310619	1102	733
node_114	26C.CD.1997.MBFE250.FM877783	1763	1749
node_115	26_A5U.CD.2002.02CD_LBTB084.FM877781	2830	1725
node_119	node_120	682	636
node_118	U.CA.1999.TV721.HM215249	3161	2028
node_120	J.AO.1993.93AOHDC253.KU310620	3232	1315
node_121	node_122	728	158
node_119	U.CA.2001.TV749.HM215251	712	701
node_116	node_121	965	580
node_121	node_123	540	541
node_123	J.SE.1994.SE9173_7022.AF082395	1198	376
node_123	node_124	307	46
node_124	J.SE.1993.SE9280_7887.AF082394	397	397
node_127	node_128	556	567
node_86	node_125	709	449
node_128	node_129	1097	643
node_125	node_126	433	415
node_132	CU.GB.2013.15171_1_19.3.MF109649	1117	1065
node_124	J.CD.2003.LA26DiAn.KU168280	2671	1556
node_126	node_127	803	574
node_131	node_132	317	315
node_133	node_134	340	152
node_129	49_cpx.BW.1998.BW2117.AF192135	1637	996
node_128	node_130	611	381
node_130	49_cpx.GM.1997.N28353.HQ385478	1518	751
node_132	49_cpx.GM.2003.N26677.HQ385479	2232	1335
node_127	node_131	83	91
node_134	02_AG.US.2000.00US_MSC3083.AY444811	1815	938
node_130	49_cpx.GM.2002.N18380.HQ385477	1672	859
node_134	02_AG.GB.2013.15228_1_71.3.MF109709	696	685
node_133	02_AG.NG.2009.09NG010060.KX389639	1216	740
node_131	node_133	842	822
node_129	J.CM.2004.04CMU11421.GU237072	2651	1446
node_126	node_135	517	402
node_135	node_136	169	167
node_136	node_137	180	174
node_145	node_146	743	477
node_137	02_AG.CM.2001.01CM_0002BBY.AY371122	2663	951
node_135	node_140	496	479
node_143	02_AG.KR.2004.04MHI10.JQ316137	2367	960
node_147	02_AG.KR.1993.93MHI10.MW405338	2425	887
node_146	node_147	56	48
node_139	02_AG.KR.2012.12MHI6.MT877447	1208	876
node_136	node_138	17	17
node_142	node_143	649	161
node_138	node_139	557	298
node_138	02_AG.NG.2011.11NG050366.KX389644	1156	908
node_140	node_141	11	11
node_147	02_AG.KR.2007.07MHI10.JQ316136	1105	905
node_140	node_142	566	29
node_144	node_145	531	48
node_125	node_144	56	60
node_143	02_AG.KR.2019.19MHI12.MT877448	745	745
node_146	node_148	840	355
node_157	0263.UZ.2002.02UZ710.AY829207	1345	310
node_148	node_149	280	259
node_148	02_AG.KR.2008.08MHI11.JQ316138	809	810
node_156	02A6.RU.2011.11RU6900.JX500697	1532	843
node_149	02_AG.NG.2009.09NG010325.KX389624	1778	749
node_145	node_150	703	241
node_150	node_152	386	31
node_155	node_157	64	66
node_149	02_AG.ES.1999.R74_s_nt0545_9481.MF157740	947	940
node_155	node_156	80	70
node_158	0263.UZ.2002.02UZ0683.AY829214	627	140
node_150	node_151	438	69
node_153	02A6.RU.2008.DE00208RU002.KU749432	867	25
node_144	node_154	118	122
node_151	02_AG.NG.2011.11NG050135.KX389640	1172	713
node_154	node_155	766	410
node_152	node_153	985	949
node_156	02A6.RU.2008.MSK_SK_005.KY238325	2693	876
node_157	node_158	162	162
node_153	02A6.RU.2008.DEURF08RU001.KF716493	1090	33
node_158	0263.UZ.2002.02UZ693.AY829204	838	227
node_154	node_159	432	395
node_7	node_163	112	113
node_169	02_AG.CM.2008.DE00208CM004.JX140647	414	426
node_168	node_170	161	162
node_163	node_164	29	22
node_160	02A6.RU.2010.10RU6509.JX500703	2570	1034
node_167	node_168	262	263
node_170	02_AG.NG.2006.06NG_SC11.JN248580	1249	729
node_169	02_AG.CM.2008.Read7_HIV_CRF02_AG.KX228823	1331	274
node_168	node_169	1065	474
node_164	node_165	27	23
node_165	node_166	523	31
node_159	node_160	11	11
node_160	02_AG.GH.2003.03GH182AG.AB286857	1450	1246
node_166	node_167	549	182
node_159	node_161	26	26
node_161	02_AG.GH.2003.03GH182AG.AB286858	1220	1228
node_161	node_162	319	337
node_167	node_171	357	92
node_171	node_172	289	288
node_172	02_AG.CM.2010.10CMLB070.MT349409	1803	1033
node_166	node_175	157	161
node_171	node_173	1056	421
node_175	node_176	127	125
node_173	02A1.EE.2006.A48.KM606636	1208	664
node_173	node_174	429	163
node_174	02_AG.CM.2002.02CM_0014BBY.AY371126	892	655
node_176	node_177	386	261
node_177	02_AG.GW.2004.CC_0030.FJ694791	1018	904
node_174	02_AG.CM.2010.DE00210CM019.KU749419	2456	834
node_177	02_AG.GW.2014.DE00214GW033.MN703129	3244	1445
node_176	node_178	537	312
node_178	02_AG.GW.2005.CC_0048.FJ694792	1376	642
node_178	node_179	529	254
node_179	02_AG.GW.2014.DE00214GW043.MT222961	1625	1114
node_179	02_AG.ES.2006.P1261.EU786671	1742	683
node_175	node_180	62	62
node_180	node_181	1178	682
node_181	02_AG.GW.2014.DE00214GW007.MH078543	1533	754
node_181	02_AG.CM.2010.10CMLB075.MT349411	1331	1018
node_180	node_182	383	131
node_182	node_183	156	166
node_183	02A3.GW.2014.DEURF14GW036.MN703131	2250	1061
node_165	node_184	150	154
node_187	02_AG.GW.2014.DEURF14GW040.MN703132	2814	1304
node_192	02_AG.CM.1997.CM53658.AF377955	1444	625
node_186	node_188	210	213
node_184	node_185	36	38
node_185	node_190	307	307
node_192	node_193	818	273
node_187	02_AG.NG.2011.DE00211NG010.KY953198	1689	971
node_190	node_191	147	150
node_185	node_186	394	389
node_186	node_187	149	147
node_188	02_AG.GH.2003.GHNJ196.AB231898	2129	1649
node_188	node_189	280	279
node_189	02_AG.CM.2010.DE00210CM013.KF859739	2214	903
node_189	0222.CM.2010.DE00210CM013.2.KF859740	2303	949
node_191	0102.CM.2002.A1152.MN116201	2290	1131
node_191	02_AG.CM.2001.01CM_0126MA.GU201499	1395	777
node_190	node_192	344	95
node_193	02_AG.CM.2002.02CM_1669LE.AY371139	1201	957
node_193	02_AG.CM.2008.08CMBDSH9.MN153494	902	853
node_184	node_194	45	53
node_194	node_195	130	133
node_195	node_196	621	406
node_196	02_AG.CM.2001.01CM_0008BBY.AY371124	1049	737
node_196	02_AG.CM.2002.02CM_4082STN.AY371141	1903	736
node_195	node_197	487	488
node_197	node_198	304	308
node_197	02_AG.CM.2001.01CM_0018ND.GU201494	1050	574
node_198	02_AG.FR.1991.DJ264.AF063224	768	307
node_194	node_199	57	72
node_199	node_201	418	414
node_201	02_AG.SE.1994.SE7812.AF107770	958	948
node_201	node_202	550	336
node_202	02_AG.NG.2009.09NG_SC29.JN248589	2754	921
node_199	node_200	393	398
node_200	02_AG.FR.1991.DJ263.AF063223	1088	720
node_164	node_203	333	336
node_207	0209.GH.1997.G829.AF184155	1816	1058
node_203	node_204	607	241
node_206	node_207	563	194
node_205	node_206	82	93
node_207	02_AG.GH.2003.03GH189AG.AB286862	2081	1567
node_204	node_205	169	179
node_206	node_208	553	298
node_208	02_AG.GH.2003.GHNJ185.AB231895	3193	1451
node_208	02_AG.GH.2003.03GH184AG.AB286860	1238	1235
node_205	node_209	1055	342
node_209	node_210	101	103
node_210	02_AG.GH.2003.03GH184AG.AB286859	3001	1314
node_209	node_211	127	121
node_211	node_212	542	545
node_212	02_AG.SN.1998.98SE_MP1211.AJ251056	677	664
node_212	02_AG.GH.2003.GHNJ188.AB231896	4037	1697
node_204	node_213	373	222
node_213	node_214	874	292
node_214	node_215	318	300
node_215	02G.NG.2009.09NG010129.KX389634	2060	1064
node_215	02A.CM.2002.02CM_2339SA.AY371143	1741	1017
node_214	node_216	110	101
node_216	02A3.SN.1996.DDJ364.AY521633	849	806
node_216	node_217	250	240
node_217	02_AG.CI.2016.DE00216CI019.MH078536	2003	1152
node_203	node_222	901	93
node_213	node_218	441	176
node_218	node_219	100	104
node_219	02_AG.NG.2012.12NG060418.KX389649	1646	800
node_219	02_AG.CM.2002.02CM_1970LE.GU201511	1439	736
node_221	02_AG.KR.2012.12MHR9.KF561435	2386	1197
node_222	node_223	281	37
node_225	02A.GW.2004.DL3039.KR067669	974	626
node_225	02A.GW.2014.DEURF14GW016.MH078549	1744	1016
node_226	02_AG.GW.2014.DE00214GW005.MH078542	1321	1061
node_226	node_227	974	266
node_223	node_224	788	316
node_218	node_220	105	109
node_224	node_226	643	223
node_220	node_221	279	273
node_224	node_225	122	121
node_227	02A.GW.2014.DEURF14GW012.MH078548	2045	1156
node_220	02_AG.CM.2002.02CM_1970LE.AY371128	798	787
node_223	node_228	330	329
node_227	02_AG.NG.2009.09NG_SC24.JN248585	1654	1023
node_228	node_229	235	238
node_229	02B.NG.2015.20389v01.MH666162	1338	713
node_229	02_AG.NG.2011.DE00211NG009.KY953197	4325	1587
node_228	node_230	750	508
node_230	02_AG.FR.2015.CODb4_7b.OP994788	366	366
node_230	node_231	13	13
node_231	02_AG.FR.2015.CODb4_2.OP994782	1039	399
node_222	node_232	428	98
node_234	02_AG.FR.2015.CODb4_5.OP994785	1415	35
node_234	02_AG.FR.2015.CODb4_3.OP994783	707	21
node_235	02_AG.FR.2015.CODb4_4.OP994784	2674	390
node_233	node_235	6	6
node_235	node_236	949	156
node_233	node_234	374	374
node_232	node_233	705	456
node_236	02_AG.FR.2015.CODb4_9.OP994790	550	550
node_231	02_AG.FR.2015.CODb4_1.OP994781	1712	357
node_236	02_AG.FR.2015.CODb4_12.OP994793	539	539
node_232	node_237	623	388
node_237	node_238	347	339
node_238	02G.GB.2014.13612_1_1.3.MF109402	1294	921
node_240	02G.GH.2003.p03GH179AG_G02.AB480047	2427	1305
node_237	node_239	1324	564
node_239	02G.GH.2003.p03GH179AG_G29.AB480048	2517	1269
node_239	node_240	1062	172
node_240	0206.NE.2000.NE36.AJ508597	2882	2166
node_163	node_241	23	23
node_241	node_242	151	148
node_242	node_243	49	48
node_243	node_244	640	131
node_244	node_245	96	94
node_245	node_246	160	169
node_246	0206.NE.1997.NE03.AJ508595	2629	2060
node_245	node_247	115	116
node_247	02G.CM.2006.06CMBDSH13.MN153482	1746	1225
node_244	node_248	153	154
node_248	node_249	586	305
node_248	node_250	308	95
node_255	node_256	0	0
node_256	02A3.FR.2011.180001_18.OP994664	1248	368
node_256	02A3.FR.2011.180001_1.OP994647	1158	368
node_258	02A3.FR.2011.180001_12.OP994658	695	213
node_253	node_255	312	2
node_257	node_258	2	2
node_257	node_259	1	1
node_250	node_251	802	569
node_251	02A3.GH.2003.GHNJ176.AB231894	1637	1415
node_251	02D.GH.2003.GHNJ193.AB231897	2521	1630
node_243	node_252	580	538
node_252	node_253	604	0
node_253	node_254	727	707
node_255	02A3.FR.2011.180001_20.OP994666	714	368
node_252	node_257	156	156
node_258	02A3.FR.2011.180001_15.OP994661	1082	212
node_259	02A3.FR.2011.180001_22b.OP994669	212	212
node_259	node_260	155	155
node_260	02A3.FR.2011.180001_14.OP994660	640	368
node_260	02A3.FR.2011.180001_24.OP994671	1847	367
node_242	node_261	163	165
node_261	node_262	494	230
node_262	node_263	1167	222
node_263	node_264	363	339
node_264	02A3.FR.2017.180001b_5b.OP994675	890	368
node_264	02A3.FR.2011.180001_3.OP994649	882	368
node_272	node_273	127	124
node_263	node_265	336	122
node_273	02A1.GW.2006.DL4186.KR067668	2630	889
node_265	02_AG.NG.2009.09NG_SC30.JN248590	975	643
node_262	node_267	418	422
node_266	02_AG.DE.2009.701114.KT124792	1261	779
node_269	node_270	627	324
node_267	node_269	101	97
node_265	node_266	339	343
node_269	02_AG.RU.2015.RU_ERS_2992_2015.MZ427751	1812	903
node_267	node_268	380	109
node_268	02_AG.CM.2000.LA10GuVa.KU168265	1954	1422
node_270	02_AG.GH.2003.03GH197AG.AB286863	2365	1033
node_270	02_AG.GH.2003.03GH197AG.AB286864	1327	1017
node_261	node_271	63	61
node_271	node_272	371	134
node_272	node_274	459	461
node_274	02_AG.CY.2005.CY048.FJ388902	2471	618
node_274	node_275	235	234
node_275	02_AG.CM.2002.02CM_3217MN.GU201514	1155	1157
node_275	02B.CY.2005.CY029.FJ388896	540	525
node_271	node_276	62	63
node_276	node_277	242	243
node_277	02_AG.CM.1997.CM52885.AF377954	1066	822
node_284	02_AG.CM.2001.01CM_4410HAL.AY371142	1036	774
node_276	node_278	1501	444
node_278	02_AG.GB.2013.15171_1_26.3.MF109657	553	539
node_278	node_279	408	226
node_241	node_280	140	60
node_280	node_281	272	121
node_281	node_282	427	439
node_282	node_283	406	76
node_283	node_284	211	204
node_284	02_AG.CM.2002.02CM_1677LE.AY371140	1385	734
node_283	node_285	178	177
node_285	02_AG.CY.2009.CY256.JF683799	2582	1261
node_282	node_286	62	68
node_286	node_287	1072	784
node_286	node_288	742	525
node_288	02G.CM.2002.02CM_3228MN.AY371147	1010	844
node_288	node_289	599	135
node_287	02_AG.BE.2014.AE.MN485975	955	926
node_287	02_AG.CM.2010.LB006_1.MK086132	2239	676
node_289	02_AG.US.1999.99US_MSC1134.AY444809	842	852
node_290	node_291	186	192
node_281	node_290	175	177
node_291	node_292	205	199
node_289	02_AG.CM.2010.10CMLB077.MT349412	2513	1436
node_291	node_293	165	169
node_293	02A.NG.2010.10NG020382.KX389616	1623	907
node_293	node_294	633	162
node_294	02_AG.NG.2009.09NG010181.KX389629	1601	1083
node_290	node_295	635	264
node_295	node_296	68	68
node_295	node_297	294	297
node_297	02A1G.CM.2007.BS29.KR017773	1446	1425
node_297	node_298	1140	621
node_298	02_AG.CM.2001.01CM_1237NG.AY371136	2209	937
node_280	node_299	234	233
node_292	02_AG.GB.2014.14592_1_65.3.MF109559	2923	995
node_296	02_AG.CM.2001.01CM_0131NY.AY371137	1141	1142
node_296	02_AG.NG.2010.10NG020065.KX389621	2112	1050
node_298	02_AG.CM.2001.01CM_0119MA.GU201498	1065	591
node_299	node_300	183	184
node_302	02_AG.CM.2001.01CM_0144ND.GU201495	1361	523
node_300	node_305	332	332
node_301	node_302	336	328
node_300	node_301	204	199
node_306	02_AG.CM.2001.01CM_1475MV.AY371138	1063	498
node_302	02_AG.CM.2001.01CM_0158ND.AY371132	1587	900
node_301	node_303	315	271
node_303	02_AG.CM.2002.02CM_2172SA.GU201512	957	553
node_303	node_304	1036	651
node_304	02_AG.CM.2002.02CM_2162SA.AY371129	1302	555
node_304	02_AG.CM.2011.NYU6556_3.MK086125	1849	850
node_305	node_306	493	490
node_305	node_307	101	104
node_307	02A1.CM.2006.06CMARC055.MN153496	754	740
node_307	node_308	604	260
node_308	02_AG.CM.2001.01CM_0005BBY.AY371123	1394	816
node_308	02A1.CM.2008.08CMNYU997.MN153490	1773	803
node_299	node_309	309	48
node_309	node_310	127	128
node_310	node_311	381	164
node_311	02A1.CM.2006.06CMARC09.MN153493	1405	879
node_310	node_312	467	201
node_312	02_AG.CM.2006.06CMARC10.MN153479	1199	1186
node_312	node_313	613	598
node_313	02_AG.CM.2008.08CMBDSH131.MN153486	1464	717
node_313	02_AG.CM.2002.02CM_0015BBY.AY371127	1482	899
node_309	node_314	253	248
node_314	node_315	120	121
node_315	02_AG.CM.2010.10CMLB097.MT349414	1457	808
node_314	node_316	773	362
node_316	02_AG.CM.2008.08CMNYU1003.MN153495	897	671
node_6	node_318	962	164
node_318	node_319	277	240
node_316	node_317	628	271
node_315	02_AG.US.2006.502_2696_FL01.JF320297	1277	611
node_317	02_AG.CM.2010.10CMLB088.MT349408	1508	670
node_319	node_320	320	231
node_320	node_321	82	84
node_321	node_322	34	34
node_322	node_323	422	417
node_323	node_324	367	104
node_324	node_325	408	406
node_325	02_AG.CY.2009.CY252.JF683795	586	586
node_325	02_AG.CM.2002.02CM_2348SA.AY371130	874	565
node_322	node_331	227	217
node_324	node_326	253	256
node_323	node_327	200	179
node_327	node_328	176	180
node_326	02_AG.CM.2002.02CM_0013BBY.AY371125	935	464
node_326	02_AG.ES.2009.P2222_2s_nt0547_9473.MF157742	1050	1051
node_327	node_329	403	370
node_331	node_332	343	80
node_332	node_333	313	310
node_330	0213.CM.2001.01CM_0096MA.GU201497	852	839
node_328	02_AG.CM.2001.01CM_0074NY.AY371131	978	648
node_328	02_AG.CM.2001.01CM_0925MO.AY371134	988	664
node_329	node_330	1111	598
node_330	02_AG.CY.2009.CY247.JF683792	1113	901
node_333	02_AG.GW.2014.DE00214GW039.MN703130	1123	1114
node_333	02_AG.NG.2001.PL0754.DQ168578	980	768
node_332	node_334	257	256
node_334	02_AG.CM.2008.08CMNYU707.MN153478	1065	826
node_334	node_335	831	566
node_335	02_AG.GH.2003.03GH181AG.AB286856	1476	956
node_335	02_AG.GH.2003.03GH181AG.AB286855	2546	956
node_331	node_336	182	182
node_336	node_337	592	387
node_337	02_AG.SN.2013.9580.KT223760	1281	890
node_337	02A1G.CM.2002.02CM_3205MN.GU201504	1184	479
node_336	node_338	122	120
node_338	node_339	1166	466
node_321	node_340	376	165
node_339	02_AG.CM.2008.Read8_HIV_CRF02_AG.KX228824	406	406
node_340	node_341	475	207
node_343	02U.CY.2006.CY158.FJ388944	1837	1379
node_344	node_345	361	362
node_341	node_346	432	223
node_345	0102.CM.2002.A1188.MN116200	2042	896
node_339	02_AG.CM.2008.DE00208CM001.JX140646	615	628
node_342	node_343	402	138
node_342	node_344	419	141
node_341	node_342	520	149
node_346	node_347	264	250
node_347	02D.CY.2008.CY217.JF683766	2967	1406
node_347	0102A1.CM.2011.11CMMDC211.MT349416	1135	873
node_346	node_348	1212	482
node_348	node_349	429	208
node_349	0102A.CM.2001.01CM_0190MA.AY371145	1483	720
node_340	node_350	99	98
node_350	node_351	639	272
node_351	node_352	197	198
node_352	02_AG.CY.2007.CY206.JF683758	2448	1177
node_351	node_353	95	81
node_352	02_AG.NG.2010.10NG030161.KX389610	1091	515
node_353	node_354	136	146
node_353	02_AG.NG.2001.PL0710.DQ168577	932	623
node_354	02_AG.NG.2012.12NG060304.KX389647	993	688
node_356	02_AG.CY.2009.CY265.JF683806	626	400
node_320	node_359	214	218
node_356	02_AG.CY.2008.CY240.JF683786	361	364
node_357	node_358	904	704
node_350	node_355	938	941
node_357	02_AG.CY.2019.CY581.ON989318	1322	441
node_361	node_362	462	203
node_355	node_357	36	39
node_359	node_360	324	58
node_360	node_361	72	71
node_362	node_363	112	115
node_355	node_356	201	207
node_363	02_AG.NG.2010.10NG020437.KX389614	1029	724
node_363	02_AG.CM.2001.01CM_0186BA.GU201500	2226	856
node_362	node_364	267	274
node_364	02A.GW.2014.DEURF14GW011.MH078547	1913	1419
node_361	node_365	684	109
node_365	node_366	811	550
node_370	node_371	1091	703
node_367	node_368	432	186
node_360	node_369	89	82
node_365	node_367	404	189
node_369	node_370	331	123
