node_115 NZ_CP041826.1
node_115 CP130773.1
node_104 node_116
node_116 node_117
node_117 node_118
node_118 NZ_CP130767.1
node_118 node_119
node_119 CP069078.1
node_119 NZ_CP069067.1
node_117 node_120
node_120 CP069067.1
node_120 node_121
node_121 NZ_CP069069.1
node_121 CP069068.1
node_116 node_122
node_122 node_123
node_123 CP048071.1
node_123 node_124
node_124 NZ_CP048071.1
node_124 CP017920.1
node_122 node_125
node_125 node_126
node_126 NZ_CP017920.1
node_126 CP054014.1
node_125 node_127
node_127 NZ_CP054014.1
node_127 NZ_CP041858.1
node_103 node_128
node_128 node_129
node_129 node_130
node_130 node_131
node_131 NZ_CP041872.1
node_131 node_132
node_132 NZ_CP041789.1
node_132 CP041789.1
node_130 node_133
node_133 CP041865.1
node_133 node_134
node_134 NZ_CP041865.1
node_134 CP041851.1
node_129 node_135
node_135 node_136
node_136 NZ_CP041860.1
node_136 node_137
node_137 CP043996.1
node_137 NZ_CP022704.1
node_135 node_138
node_138 CP022704.2
node_138 node_139
node_139 CP010335.1
node_139 NZ_CP010335.1
node_128 node_140
node_140 node_141
node_141 node_142
node_142 CP041869.1
node_142 node_143
node_143 CP041863.1
node_143 NZ_CP041869.1
node_141 node_144
node_144 CP043997.1
node_144 node_145
node_145 NZ_CP041850.1
node_145 CP041850.1
node_140 node_146
node_146 node_147
node_147 NZ_CP043997.1
node_147 node_148
node_148 NZ_CP041863.1
node_148 AP024461.1
node_146 node_149
node_149 node_150
node_150 CP017598.1
node_150 NZ_CP017598.1
node_149 node_151
node_151 NZ_CP017597.1
node_151 CP017593.1
node_102 node_152
node_152 node_153
node_153 node_154
node_154 node_155
node_155 node_156
node_156 NZ_CP017595.1
node_156 node_157
node_157 NZ_AP024671.1
node_157 NZ_CP041835.1
node_155 node_158
node_158 CP041835.1
node_158 node_159
node_159 CP016794.1
node_159 NZ_CP041830.1
node_154 node_160
node_160 node_161
node_161 NZ_CP002882.1
node_161 node_162
node_162 CP002882.1
node_162 CP002883.1
node_160 node_163
node_163 NZ_CP041854.1
node_163 node_164
node_164 CP012506.2
node_164 NZ_CP012506.2
node_153 node_165
node_165 node_166
node_166 node_167
node_167 CP013475.1
node_167 node_168
node_168 NZ_AP018036.1
node_168 NZ_CP019610.1
node_166 node_169
node_169 CP019610.1
node_169 node_170
node_170 CP022578.1
node_170 NZ_CP022578.1
node_165 node_171
node_171 node_172
node_172 CP022577.1
node_172 node_173
node_173 CP089780.1
node_173 CP046728.2
node_171 node_174
node_174 node_175
node_175 NZ_CP030093.1
node_175 NZ_CP070338.1
node_174 node_176
node_176 NZ_CP041836.1
node_176 CP041799.1
node_152 node_177
node_177 node_178
node_178 node_179
node_179 node_180
node_180 NZ_CP041799.1
node_180 node_181
node_181 NZ_CP115447.1
node_181 CP115447.1
node_179 node_182
node_182 CP012090.1
node_182 node_183
node_183 CP041836.1
node_183 CP041815.1
node_178 node_184
node_184 node_185
node_185 CP110674.1
node_185 node_186
node_186 CP017596.1
node_186 NZ_CP017596.1
node_184 node_187
node_187 CP010873.1
node_187 node_188
node_188 CP002884.1
node_188 NC_021251.1
node_177 node_189
node_189 node_190
node_190 node_191
node_191 CP001641.1
node_191 node_192
node_192 NZ_CP009426.1
node_192 CP009426.1
node_190 node_193
node_193 NZ_CP011510.1
node_193 node_194
node_194 CP041856.1
node_194 NZ_CP133043.1
node_189 node_195
node_195 node_196
node_196 NZ_CP041832.1
node_196 node_197
node_197 NZ_CP095023.1
node_197 CP095023.1
node_195 node_198
node_198 node_199
node_199 NZ_CP041849.1
node_199 CP041849.1
node_198 node_200
node_200 NZ_CP041876.1
node_200 NZ_AP018035.1
node_1 node_201
node_201 node_202
node_202 node_203
node_203 node_204
node_204 node_205
node_205 node_206
node_206 node_207
node_207 NZ_AP024456.1
node_207 node_208
node_208 NZ_CP007809.1
node_208 CP022014.1
node_206 node_209
node_209 CP007803.1
node_209 node_210
node_210 NZ_CP007803.1
node_210 NZ_CP041821.1
node_205 node_211
node_211 node_212
node_212 CP041821.1
node_212 node_213
node_213 CP041817.1
node_213 NZ_CP069076.1
node_211 node_214
node_214 NZ_CP041797.1
node_214 node_215
node_215 CP130797.1
node_215 CP130798.1
node_204 node_216
node_216 node_217
node_217 node_218
node_218 CP130815.1
node_218 node_219
node_219 NZ_CP130774.1
node_219 CP130774.1
node_217 node_220
node_220 CP130794.1
node_220 node_221
node_221 NZ_CP041853.1
node_221 CP041813.1
node_216 node_222
node_222 node_223
node_223 NZ_CP041844.1
node_223 node_224
node_224 CP041873.1
node_224 NZ_CP041873.1
node_222 node_225
node_225 node_226
node_226 NZ_CP046309.1
node_226 CP046309.1
node_225 node_227
node_227 NZ_CP069075.1
node_227 NZ_CP041871.1
node_203 node_228
node_228 node_229
node_229 node_230
node_230 node_231
node_231 NZ_CP010338.1
node_231 node_232
node_232 CP133044.1
node_232 NZ_CP133044.1
node_230 node_233
node_233 CP133045.1
node_233 node_234
node_234 NZ_CP133045.1
node_234 NZ_CP069072.1
node_229 node_235
node_235 node_236
node_236 CP069072.1
node_236 node_237
node_237 CP133041.1
node_237 NZ_CP133041.1
node_235 node_238
node_238 NZ_CP020381.2
node_238 node_239
node_239 CP089777.1
node_239 NC_020559.1
node_228 node_240
node_240 node_241
node_241 node_242
node_242 AP012340.1
node_242 node_243
node_243 NZ_CP089775.1
node_243 NZ_CP130761.1
node_241 node_244
node_244 CP130764.1
node_244 node_245
node_245 CP130775.1
node_245 CP041834.1
node_240 node_246
node_246 node_247
node_247 CP154611.1
node_247 node_248
node_248 CP041805.1
node_248 CP041818.1
node_246 node_249
node_249 node_250
node_250 NZ_CP041818.1
node_250 CP001664.1
node_249 node_251
node_251 CP089611.1
node_251 HE663067.1
node_202 node_252
node_252 node_253
node_253 node_254
node_254 node_255
node_255 node_256
node_256 CP041207.1
node_256 node_257
node_257 NZ_CP089778.1
node_257 CP041840.1
node_255 node_258
node_258 NZ_CP041833.1
node_258 node_259
node_259 NZ_CP041838.1
node_259 NZ_CP041840.1
node_254 node_260
node_260 node_261
node_261 CP041838.1
node_261 node_262
node_262 CP041839.1
node_262 CP041833.1
node_260 node_263
node_263 CP041841.1
node_263 node_264
node_264 NZ_CP041839.1
node_264 CP041866.1
node_253 node_265
node_265 node_266
node_266 node_267
node_267 NZ_CP010339.1
node_267 node_268
node_268 NZ_CP069070.1
node_268 NZ_CP041788.1
node_266 node_269
node_269 CP041788.1
node_269 node_270
node_270 NZ_CP041824.1
node_270 CP041824.1
node_265 node_271
node_271 node_272
node_272 AE000516.2
node_272 node_273
node_273 CP018301.1
node_273 NZ_CP018304.1
node_271 node_274
node_274 node_275
node_275 CP069071.1
node_275 NZ_CP069071.1
node_274 node_276
node_276 CP089772.1
node_276 CP041823.1
node_252 node_277
node_277 node_278
node_278 node_279
node_279 node_280
node_280 NC_018078.1
node_280 node_281
node_281 CP043995.1
node_281 NZ_CP043995.1
node_279 node_282
node_282 CP041822.1
node_282 node_283
node_283 NZ_CP041825.1
node_283 CP001662.1
node_278 node_284
node_284 node_285
node_285 CP002992.1
node_285 node_286
node_286 CP125620.1
node_286 NZ_CP089781.1
node_284 node_287
node_287 NZ_CP041812.1
node_287 node_288
node_288 CP018305.1
node_288 NZ_CP018305.1
node_277 node_289
node_289 node_290
node_290 node_291
node_291 CP041829.1
node_291 node_292
node_292 AP017901.1
node_292 CP041820.1
node_290 node_293
node_293 CP000717.1
node_293 node_294
node_294 NC_009565.1
node_294 CP089610.1
node_289 node_295
node_295 node_296
node_296 NZ_CP149781.1
node_296 node_297
node_297 NZ_CP041809.1
node_297 OW052571.1
node_295 node_298
node_298 node_299
node_299 NZ_CP041864.1
node_299 CP041845.1
node_298 node_300
node_300 NZ_CP041845.1
node_300 NZ_CP041804.1
node_201 node_301
node_301 node_302
node_302 node_303
node_303 node_304
node_304 node_305
node_305 node_306
node_306 NZ_LR027516.1
node_306 node_307
node_307 NZ_CP127274.1
node_307 NZ_CP009100.1
node_305 node_308
node_308 CP023626.1
node_308 node_309
node_309 NZ_CP023586.1
node_309 NZ_CP023599.1
node_304 node_310
node_310 node_311
node_311 CP023609.1
node_311 node_312
node_312 NZ_CP127273.1
node_312 NC_021054.1
node_310 node_313
node_313 NZ_CP071127.1
node_313 node_314
node_314 CP071127.1
node_314 CP071128.1
node_303 node_315
node_315 node_316
node_316 node_317
node_317 CP150983.1
node_317 node_318
node_318 CP054013.1
node_318 CP089927.1
node_316 node_319
node_319 CP130782.1
node_319 node_320
node_320 NZ_CP130756.1
node_320 NC_021193.1
node_315 node_321
node_321 node_322
node_322 CP018778.1
node_322 node_323
node_323 NZ_CP010330.1
node_323 CP010330.1
node_321 node_324
node_324 node_325
node_325 NZ_CP046529.1
node_325 CP072762.1
node_324 node_326
node_326 CP016972.1
node_326 CP072763.1
node_302 node_327
node_327 node_328
node_328 node_329
node_329 node_330
node_330 NZ_CP072765.1
node_330 node_331
node_331 NZ_CP072763.1
node_331 NZ_CP007027.1
node_329 node_332
node_332 CP023608.1
node_332 node_333
node_333 CP025594.1
node_333 NZ_CP025594.1
node_328 node_334
node_334 node_335
node_335 CP025597.1
node_335 node_336
node_336 NZ_CP023616.1
node_336 CP023600.1
node_334 node_337
node_337 NZ_CP023600.1
node_337 node_338
node_338 NZ_CP023630.1
node_338 NZ_CP023632.1
node_327 node_339
node_339 node_340
node_340 node_341
node_341 CP023632.1
node_341 node_342
node_342 CP023575.1
node_342 NZ_CP023583.1
node_340 node_343
node_343 CP023583.1
node_343 node_344
node_344 NZ_CP023597.1
node_344 CP023605.1
node_339 node_345
node_345 node_346
node_346 CP023636.1
node_346 node_347
node_347 NZ_CP023637.1
node_347 CP023625.1
node_345 node_348
node_348 node_349
node_349 NZ_CP023580.1
node_349 NC_021192.1
node_348 node_350
node_350 CP005387.1
node_350 NZ_CP023610.1
node_301 node_351
node_351 node_352
node_352 node_353
node_353 node_354
node_354 node_355
node_355 CP023576.1
node_355 node_356
node_356 NZ_CP023591.1
node_356 CP023591.1
node_354 node_357
node_357 NZ_CP023625.1
node_357 node_358
node_358 CP023640.1
node_358 CP023593.1
node_353 node_359
node_359 node_360
node_360 CP023628.1
node_360 node_361
node_361 NZ_CP023628.1
node_361 CP023619.1
node_359 node_362
node_362 NZ_CP025593.1
node_362 node_363
node_363 CP023602.1
node_363 CP023615.1
node_352 node_364
node_364 node_365
node_365 node_366
node_366 CP025604.1
node_366 node_367
node_367 CP023589.1
node_367 NZ_CP023589.1
node_365 node_368
node_368 CP023590.1
node_368 node_369
node_369 CP023611.1
node_369 NZ_CP023611.1
node_364 node_370
node_370 node_371
node_371 CP023638.1
node_371 node_372
node_372 CP023621.1
node_372 NZ_CP023621.1
node_370 node_373
node_373 node_374
node_374 CP023574.1
node_374 CP023629.1
node_373 node_375
node_375 NZ_CP023604.1
node_375 CP023581.1
node_351 node_376
node_376 node_377
node_377 node_378
node_378 node_379
node_379 NZ_CP023581.1
node_379 node_380
node_380 NZ_CP023587.1
node_380 NZ_CP023579.1
node_378 node_381
node_381 CP023579.1
node_381 node_382
node_382 CP023578.1
node_382 NZ_CP023633.1
node_377 node_383
node_383 node_384
node_384 CP023584.1
node_384 node_385
node_385 CP023585.1
node_385 NZ_CP023592.1
node_383 node_386
node_386 CP025595.1
node_386 node_387
node_387 NZ_CP023613.1
node_387 CP023613.1
node_376 node_388
node_388 node_389
node_389 node_390
node_390 NZ_CP023617.1
node_390 node_391
node_391 CP023606.1
node_391 NZ_CP023606.1
node_389 node_392
node_392 CP023594.1
node_392 node_393
node_393 CP023607.1
node_393 NZ_CP025608.1
node_388 node_394
node_394 node_395
node_395 CP025608.1
node_395 node_396
node_396 CP025600.1
node_396 CP025606.1
node_394 node_397
node_397 node_398
node_398 NZ_CP025605.1
node_398 CP025605.1
node_397 node_399
node_399 CP025603.1
node_399 CP025598.1
